,tweet,sentiment,tweet,location
0,Happy Memorial Day weekend from a very quiet @rockcenternyc ❤️🇺🇸💙 #NewYorkTough #MemorialDayWeekend #MemorialDay #RockefellerCenter #RockefellerPlaza #Covid19 #Covid_19 #NewYork #NYC #NewYorkCity #Manhattan #Spring… https://t.co/JcUOTsuRxK,0.4,Happy Memorial Day weekend from a very quiet @rockcenternyc ❤️🇺🇸💙 #NewYorkTough #MemorialDayWeekend #MemorialDay #RockefellerCenter #RockefellerPlaza #Covid19 #Covid_19 #NewYork #NYC #NewYorkCity #Manhattan #Spring… https://t.co/JcUOTsuRxK,New York
1,"Day 144 of 2020.
.
.
Doing my civic duty. COVID-19 testing in Los Angeles.  The city is encouraging everyone to get tested. It’s a self administered swab test. Easy sign up, fast moving… https://t.co/0gbexG8w0X",0.31666666666666665,"Day 144 of 2020.
.
.
Doing my civic duty. COVID-19 testing in Los Angeles.  The city is encouraging everyone to get tested. It’s a self administered swab test. Easy sign up, fast moving… https://t.co/0gbexG8w0X",California
2,"#BeSafe #StayHealthy #protectall 
PSA announcement for COVID precautions not always known😷🥰🙏♥️💋🌍🤓🇺🇸🇧🇷✌🏼 @ Nolensville, Tennessee https://t.co/IrnW07rbht",0.0,"#BeSafe #StayHealthy #protectall 
PSA announcement for COVID precautions not always known😷🥰🙏♥️💋🌍🤓🇺🇸🇧🇷✌🏼 @ Nolensville, Tennessee https://t.co/IrnW07rbht",Tennessee
3,"🚨Open 3PM-2AM 7 Days a week
🚨Outdoor PATIO 
📞 US @ 614-429-3694 
Press.
🚨1 Our Store hours during (covid19)
🚨2 Our address.
🚨3 To speak with a sales associate.
🚨4 To Speak with the store manager.
🚨5 Happy Hour Deals… https://t.co/8S910FITiS",0.4,"🚨Open 3PM-2AM 7 Days a week
🚨Outdoor PATIO 
📞 US @ 614-429-3694 
Press.
🚨1 Our Store hours during (covid19)
🚨2 Our address.
🚨3 To speak with a sales associate.
🚨4 To Speak with the store manager.
🚨5 Happy Hour Deals… https://t.co/8S910FITiS",Ohio
4,"Covid Meals. Beem spending a lot of time on the kitchen. #veglife #plantbasedgod #losangeles #losangelesnow #casadepickford #newcrib #homebase @ Mid-City, Los Angeles https://t.co/3ckvGb2eHg",0.0,"Covid Meals. Beem spending a lot of time on the kitchen. #veglife #plantbasedgod #losangeles #losangelesnow #casadepickford #newcrib #homebase @ Mid-City, Los Angeles https://t.co/3ckvGb2eHg",California
5,"COVID-19 update @ Queens, New York https://t.co/E98ZAD4viF",0.13636363636363635,"COVID-19 update @ Queens, New York https://t.co/E98ZAD4viF",New York
6,JOIN US! Christ Over COVID - “Lonely Bit Not Alone” @ Crenshaw Church of Christ https://t.co/bsk9rdRJOa,0.0,JOIN US! Christ Over COVID - “Lonely Bit Not Alone” @ Crenshaw Church of Christ https://t.co/bsk9rdRJOa,California
7,"Recently Canadian Scientists have found that 13 cannabis plants that are high in CBD have appeared to be beneficial in preventing Covid19
______________________________________________

Results indicated hemp… https://t.co/DKeseFf22I",-0.2,"Recently Canadian Scientists have found that 13 cannabis plants that are high in CBD have appeared to be beneficial in preventing Covid19
______________________________________________

Results indicated hemp… https://t.co/DKeseFf22I",Pennsylvania
8,"Birthday. COVID19 edition @ Sylmar, California https://t.co/oD4PyYXnaS",0.08,"Birthday. COVID19 edition @ Sylmar, California https://t.co/oD4PyYXnaS",California
9,"T-minus less than 2 days until I run a virtual 10K, on Memorial Day!
.
As most of you know I run @bolderboulder every year and this it is cancelled on Memorial Day due to covid. But that won’t stop me taking part in… https://t.co/6B1HQQgsM1",0.0,"T-minus less than 2 days until I run a virtual 10K, on Memorial Day!
.
As most of you know I run @bolderboulder every year and this it is cancelled on Memorial Day due to covid. But that won’t stop me taking part in… https://t.co/6B1HQQgsM1",Colorado
