,Province_State,Confirmed
0,Alabama,22845
1,Alaska,609
3,Arizona,31267
4,Arkansas,10816
5,California,143377
6,Colorado,28632
7,Connecticut,44461
8,Delaware,10106
10,District of Columbia,9589
11,Florida,69069
12,Georgia,54973
15,Hawaii,692
16,Idaho,3260
17,Illinois,130603
18,Indiana,38748
19,Iowa,22973
20,Kansas,10823
21,Kentucky,11945
22,Louisiana,44472
23,Maine,2667
24,Maryland,60197
25,Massachusetts,104667
26,Michigan,65449
27,Minnesota,29316
28,Mississippi,18483
29,Missouri,15699
30,Montana,563
31,Nebraska,16315
32,Nevada,10473
33,New Hampshire,5209
34,New Jersey,165816
35,New Mexico,9367
36,New York,380892
37,North Carolina,39584
38,North Dakota,2980
40,Ohio,40004
41,Oklahoma,7626
42,Oregon,5237
43,Pennsylvania,81848
45,Rhode Island,15862
46,South Carolina,16441
47,South Dakota,5665
48,Tennessee,28340
49,Texas,82658
50,Utah,13252
51,Vermont,1110
53,Virginia,52647
54,Washington,24779
55,West Virginia,2217
56,Wisconsin,21926
57,Wyoming,1009
