,Province_State,Confirmed
0,Alabama,28206
1,Alaska,707
3,Arizona,43445
4,Arkansas,13928
5,California,167086
6,Colorado,29886
7,Connecticut,45440
8,Delaware,10499
10,District of Columbia,9903
11,Florida,85926
12,Georgia,60912
15,Hawaii,762
16,Idaho,3743
17,Illinois,134778
18,Indiana,41438
19,Iowa,24861
20,Kansas,11753
21,Kentucky,13197
22,Louisiana,48634
23,Maine,2878
24,Maryland,63229
25,Massachusetts,106422
26,Michigan,66798
27,Minnesota,31675
28,Mississippi,20641
29,Missouri,17371
30,Montana,655
31,Nebraska,17414
32,Nevada,12169
33,New Hampshire,5450
34,New Jersey,168107
35,New Mexico,10153
36,New York,385760
37,North Carolina,48167
38,North Dakota,3193
40,Ohio,43122
41,Oklahoma,9355
42,Oregon,6366
43,Pennsylvania,84683
45,Rhode Island,16269
46,South Carolina,21533
47,South Dakota,6109
48,Tennessee,32770
49,Texas,101259
50,Utah,15839
51,Vermont,1135
53,Virginia,56238
54,Washington,27192
55,West Virginia,2418
56,Wisconsin,23876
57,Wyoming,1144
