,Province_State,Confirmed
0,Alabama,55545
1,Alaska,1539
3,Arizona,123824
4,Arkansas,28939
5,California,333357
6,Colorado,37218
7,Connecticut,47510
8,Delaware,12879
10,District of Columbia,10906
11,Florida,282435
12,Georgia,120572
15,Hawaii,1243
16,Idaho,11404
17,Illinois,155931
18,Indiana,52037
19,Iowa,35631
20,Kansas,19645
21,Kentucky,19653
22,Louisiana,79827
23,Maine,3558
24,Maryland,73527
25,Massachusetts,111827
26,Michigan,77198
27,Minnesota,42772
28,Mississippi,36680
29,Missouri,28289
30,Montana,1843
31,Nebraska,21399
32,Nevada,28515
33,New Hampshire,6068
34,New Jersey,175522
35,New Mexico,15291
36,New York,402263
37,North Carolina,87669
38,North Dakota,4442
40,Ohio,66853
41,Oklahoma,20746
42,Oregon,12438
43,Pennsylvania,100330
45,Rhode Island,17487
46,South Carolina,58168
47,South Dakota,7524
48,Tennessee,65274
49,Texas,269778
50,Utah,30030
51,Vermont,1301
53,Virginia,71642
54,Washington,40656
55,West Virginia,4313
56,Wisconsin,36942
57,Wyoming,1903
