,Province_State,Confirmed
0,Alabama,4712
1,Alaska,314
3,Arizona,4724
4,Arkansas,1744
5,California,30491
6,Colorado,9047
7,Connecticut,17550
8,Delaware,2538
10,District of Columbia,2666
11,Florida,25492
12,Georgia,17669
15,Hawaii,574
16,Idaho,1655
17,Illinois,29160
18,Indiana,10641
19,Iowa,2513
20,Kansas,1821
21,Kentucky,2707
22,Louisiana,23580
23,Maine,847
24,Maryland,12326
25,Massachusetts,36372
26,Michigan,30791
27,Minnesota,2209
28,Mississippi,3974
29,Missouri,5579
30,Montana,426
31,Nebraska,1249
32,Nevada,3626
33,New Hampshire,1342
34,New Jersey,81420
35,New Mexico,1798
36,New York,241712
37,North Carolina,6328
38,North Dakota,528
40,Ohio,10222
41,Oklahoma,2465
42,Oregon,1844
43,Pennsylvania,31652
45,Rhode Island,4491
46,South Carolina,4248
47,South Dakota,1542
48,Tennessee,6589
49,Texas,18704
50,Utah,2917
51,Vermont,803
53,Virginia,8053
54,Washington,11776
55,West Virginia,785
56,Wisconsin,4199
57,Wyoming,309
