,Province_State,Confirmed
0,Alabama,19387
1,Alaska,523
3,Arizona,24439
4,Arkansas,8651
5,California,125738
6,Colorado,27601
7,Connecticut,43460
8,Delaware,9773
10,District of Columbia,9199
11,Florida,61488
12,Georgia,50621
15,Hawaii,664
16,Idaho,3111
17,Illinois,125915
18,Indiana,36578
19,Iowa,21154
20,Kansas,10306
21,Kentucky,10977
22,Louisiana,41989
23,Maine,2482
24,Maryland,56770
25,Massachusetts,102557
26,Michigan,63777
27,Minnesota,26980
28,Mississippi,16769
29,Missouri,14572
30,Montana,541
31,Nebraska,15406
32,Nevada,9309
33,New Hampshire,4953
34,New Jersey,163336
35,New Mexico,8672
36,New York,376208
37,North Carolina,33295
38,North Dakota,2745
40,Ohio,37758
41,Oklahoma,7007
42,Oregon,4570
43,Pennsylvania,78815
45,Rhode Island,15441
46,South Carolina,13453
47,South Dakota,5277
48,Tennessee,25664
49,Texas,72548
50,Utah,11252
51,Vermont,1027
53,Virginia,48532
54,Washington,22993
55,West Virginia,2119
56,Wisconsin,20249
57,Wyoming,933
