,Province_State,Confirmed
0,Alabama,9385
1,Alaska,377
3,Arizona,10526
4,Arkansas,3747
5,California,63779
6,Colorado,18827
7,Connecticut,32411
8,Delaware,6111
10,District of Columbia,5899
11,Florida,39199
12,Georgia,32181
15,Hawaii,629
16,Idaho,2178
17,Illinois,73760
18,Indiana,23146
19,Iowa,11457
20,Kansas,6667
21,Kentucky,6288
22,Louisiana,30855
23,Maine,1374
24,Maryland,30485
25,Massachusetts,75333
26,Michigan,46386
27,Minnesota,10088
28,Mississippi,9090
29,Missouri,9733
30,Montana,458
31,Nebraska,7818
32,Nevada,5920
33,New Hampshire,2947
34,New Jersey,135840
35,New Mexico,4673
36,New York,330407
37,North Carolina,14006
38,North Dakota,1425
40,Ohio,23016
41,Oklahoma,4424
42,Oregon,3068
43,Pennsylvania,57371
45,Rhode Island,10779
46,South Carolina,7367
47,South Dakota,3145
48,Tennessee,14441
49,Texas,37246
50,Utah,5919
51,Vermont,919
53,Virginia,22342
54,Washington,16388
55,West Virginia,1323
56,Wisconsin,9590
57,Wyoming,644
