,Province_State,Confirmed
0,Alabama,11101
1,Alaska,383
3,Arizona,12674
4,Arkansas,4366
5,California,74871
6,Colorado,20838
7,Connecticut,35464
8,Delaware,7223
10,District of Columbia,6736
11,Florida,43210
12,Georgia,35977
15,Hawaii,637
16,Idaho,2351
17,Illinois,87937
18,Indiana,26053
19,Iowa,13675
20,Kansas,7705
21,Kentucky,7225
22,Louisiana,33489
23,Maine,1565
24,Maryland,35903
25,Massachusetts,82182
26,Michigan,49582
27,Minnesota,13435
28,Mississippi,10483
29,Missouri,10594
30,Montana,462
31,Nebraska,9260
32,Nevada,6504
33,New Hampshire,3382
34,New Jersey,142704
35,New Mexico,5503
36,New York,343051
37,North Carolina,16968
38,North Dakota,1712
40,Ohio,26357
41,Oklahoma,4963
42,Oregon,3479
43,Pennsylvania,63105
45,Rhode Island,12016
46,South Carolina,8189
47,South Dakota,3792
48,Tennessee,16699
49,Texas,44480
50,Utah,6749
51,Vermont,932
53,Virginia,27813
54,Washington,17773
55,West Virginia,1427
56,Wisconsin,11275
57,Wyoming,701
