,Province_State,Confirmed
0,Alabama,13052
1,Alaska,401
3,Arizona,14906
4,Arkansas,5003
5,California,85997
6,Colorado,22797
7,Connecticut,39017
8,Delaware,8194
10,District of Columbia,7551
11,Florida,47471
12,Georgia,39801
15,Hawaii,643
16,Idaho,2506
17,Illinois,100418
18,Indiana,29274
19,Iowa,15620
20,Kansas,8507
21,Kentucky,8167
22,Louisiana,35316
23,Maine,1819
24,Maryland,42323
25,Massachusetts,88970
26,Michigan,53009
27,Minnesota,17670
28,Mississippi,11967
29,Missouri,11528
30,Montana,478
31,Nebraska,11122
32,Nevada,7388
33,New Hampshire,3868
34,New Jersey,150776
35,New Mexico,6317
36,New York,354370
37,North Carolina,20262
38,North Dakota,2095
40,Ohio,29436
41,Oklahoma,5532
42,Oregon,3801
43,Pennsylvania,68126
45,Rhode Island,13356
46,South Carolina,9175
47,South Dakota,4177
48,Tennessee,18412
49,Texas,51673
50,Utah,7710
51,Vermont,944
53,Virginia,32908
54,Washington,18971
55,West Virginia,1567
56,Wisconsin,13413
57,Wyoming,787
