,Province_State,Confirmed
0,Alabama,20500
1,Alaska,543
3,Arizona,26989
4,Arkansas,9426
5,California,130615
6,Colorado,27987
7,Connecticut,43968
8,Delaware,9942
10,District of Columbia,9332
11,Florida,63938
12,Georgia,51898
15,Hawaii,675
16,Idaho,3139
17,Illinois,127757
18,Indiana,37397
19,Iowa,21712
20,Kansas,10406
21,Kentucky,11287
22,Louisiana,42816
23,Maine,2570
24,Maryland,57973
25,Massachusetts,103436
26,Michigan,64648
27,Minnesota,27886
28,Mississippi,17270
29,Missouri,15023
30,Montana,545
31,Nebraska,15664
32,Nevada,9669
33,New Hampshire,5043
34,New Jersey,164164
35,New Mexico,8940
36,New York,378097
37,North Carolina,35625
38,North Dakota,2861
40,Ohio,38476
41,Oklahoma,7150
42,Oregon,4662
43,Pennsylvania,79908
45,Rhode Island,15441
46,South Carolina,14286
47,South Dakota,5438
48,Tennessee,26493
49,Texas,75408
50,Utah,12066
51,Vermont,1063
53,Virginia,50681
54,Washington,23729
55,West Virginia,2144
56,Wisconsin,20835
57,Wyoming,947
