,Province_State,Confirmed
0,Alabama,16032
1,Alaska,411
3,Arizona,17318
4,Arkansas,6277
5,California,101050
6,Colorado,24754
7,Connecticut,41288
8,Delaware,9096
10,District of Columbia,8406
11,Florida,52634
12,Georgia,44638
15,Hawaii,644
16,Idaho,2699
17,Illinois,114306
18,Indiana,32437
19,Iowa,18369
20,Kansas,9291
21,Kentucky,9077
22,Louisiana,38497
23,Maine,2137
24,Maryland,48423
25,Massachusetts,94220
26,Michigan,55608
27,Minnesota,22464
28,Mississippi,14044
29,Missouri,12816
30,Montana,481
31,Nebraska,12984
32,Nevada,8150
33,New Hampshire,4286
34,New Jersey,156628
35,New Mexico,7252
36,New York,364965
37,North Carolina,24916
38,North Dakota,2439
40,Ohio,33439
41,Oklahoma,6229
42,Oregon,4038
43,Pennsylvania,73557
45,Rhode Island,14353
46,South Carolina,10623
47,South Dakota,4710
48,Tennessee,21285
49,Texas,58542
50,Utah,8706
51,Vermont,971
53,Virginia,40249
54,Washington,20406
55,West Virginia,1899
56,Wisconsin,16462
57,Wyoming,860
