,Province_State,Confirmed
0,Alabama,8112
1,Alaska,370
3,Arizona,8924
4,Arkansas,3491
5,California,55884
6,Colorado,16918
7,Connecticut,29973
8,Delaware,5288
10,District of Columbia,5170
11,Florida,36897
12,Georgia,29451
15,Hawaii,621
16,Idaho,2106
17,Illinois,63777
18,Indiana,20507
19,Iowa,9703
20,Kansas,5383
21,Kentucky,5245
22,Louisiana,29673
23,Maine,1205
24,Maryland,26408
25,Massachusetts,69087
26,Michigan,43990
27,Minnesota,7234
28,Mississippi,7877
29,Missouri,8946
30,Montana,457
31,Nebraska,6037
32,Nevada,5630
33,New Hampshire,2588
34,New Jersey,128269
35,New Mexico,4031
36,New York,318953
37,North Carolina,11971
38,North Dakota,1225
40,Ohio,20474
41,Oklahoma,4044
42,Oregon,2759
43,Pennsylvania,52816
45,Rhode Island,9652
46,South Carolina,6757
47,South Dakota,2668
48,Tennessee,13571
49,Texas,32783
50,Utah,5317
51,Vermont,902
53,Virginia,19493
54,Washington,15462
55,West Virginia,1224
56,Wisconsin,8236
57,Wyoming,596
