,Province_State,Confirmed
0,Alabama,41865
1,Alaska,1060
3,Arizona,91872
4,Arkansas,22622
5,California,250514
6,Colorado,33595
7,Connecticut,46717
8,Delaware,11923
10,District of Columbia,10435
11,Florida,178594
12,Georgia,90493
15,Hawaii,975
16,Idaho,6994
17,Illinois,145750
18,Indiana,46915
19,Iowa,30463
20,Kansas,15659
21,Kentucky,16376
22,Louisiana,63289
23,Maine,3373
24,Maryland,68961
25,Massachusetts,109628
26,Michigan,72175
27,Minnesota,37624
28,Mississippi,29684
29,Missouri,23160
30,Montana,1128
31,Nebraska,19660
32,Nevada,20718
33,New Hampshire,5857
34,New Jersey,172742
35,New Mexico,12776
36,New York,395872
37,North Carolina,70262
38,North Dakota,3722
40,Ohio,55257
41,Oklahoma,15069
42,Oregon,9636
43,Pennsylvania,93392
45,Rhode Island,16991
46,South Carolina,41532
47,South Dakota,6978
48,Tennessee,48712
49,Texas,185591
50,Utah,23866
51,Vermont,1236
53,Virginia,64393
54,Washington,34778
55,West Virginia,3126
56,Wisconsin,30317
57,Wyoming,1582
