,Province_State,Confirmed
0,Alabama,33206
1,Alaska,813
3,Arizona,63281
4,Arkansas,18062
5,California,201112
6,Colorado,31463
7,Connecticut,45994
8,Delaware,10980
10,District of Columbia,10159
11,Florida,114018
12,Georgia,71095
15,Hawaii,851
16,Idaho,4865
17,Illinois,139434
18,Indiana,43655
19,Iowa,27373
20,Kansas,13107
21,Kentucky,14617
22,Louisiana,53415
23,Maine,3070
24,Maryland,65777
25,Massachusetts,107837
26,Michigan,68989
27,Minnesota,34123
28,Mississippi,24516
29,Missouri,19637
30,Montana,803
31,Nebraska,18346
32,Nevada,14859
33,New Hampshire,5638
34,New Jersey,170196
35,New Mexico,11192
36,New York,390415
37,North Carolina,57472
38,North Dakota,3393
40,Ohio,47651
41,Oklahoma,11948
42,Oregon,7568
43,Pennsylvania,88141
45,Rhode Island,16640
46,South Carolina,29022
47,South Dakota,6479
48,Tennessee,38034
49,Texas,134558
50,Utah,19374
51,Vermont,1191
53,Virginia,59946
54,Washington,30367
55,West Virginia,2694
56,Wisconsin,26227
57,Wyoming,1326
