,Province_State,Confirmed
0,Alabama,40111
1,Alaska,1014
3,Arizona,87445
4,Arkansas,22075
5,California,246550
6,Colorado,33335
7,Connecticut,46646
8,Delaware,11731
10,District of Columbia,10390
11,Florida,169106
12,Georgia,87709
15,Hawaii,946
16,Idaho,6593
17,Illinois,144013
18,Indiana,46387
19,Iowa,30259
20,Kansas,15002
21,Kentucky,16079
22,Louisiana,61561
23,Maine,3328
24,Maryland,68423
25,Massachusetts,109338
26,Michigan,71678
27,Minnesota,37210
28,Mississippi,28770
29,Missouri,22636
30,Montana,1083
31,Nebraska,19452
32,Nevada,19733
33,New Hampshire,5822
34,New Jersey,172356
35,New Mexico,12520
36,New York,394954
37,North Carolina,68216
38,North Dakota,3657
40,Ohio,52865
41,Oklahoma,14531
42,Oregon,9294
43,Pennsylvania,92612
45,Rhode Island,16941
46,South Carolina,39701
47,South Dakota,6893
48,Tennessee,46890
49,Texas,179137
50,Utah,23270
51,Vermont,1227
53,Virginia,63735
54,Washington,34151
55,West Virginia,3053
56,Wisconsin,29738
57,Wyoming,1550
