,Province_State,Confirmed
0,Alabama,6750
1,Alaska,351
3,Arizona,6955
4,Arkansas,3127
5,California,46164
6,Colorado,14316
7,Connecticut,26312
8,Delaware,4575
10,District of Columbia,3994
11,Florida,32848
12,Georgia,24922
15,Hawaii,609
16,Idaho,1952
17,Illinois,48102
18,Indiana,16588
19,Iowa,6376
20,Kansas,3652
21,Kentucky,4375
22,Louisiana,27286
23,Maine,1040
24,Maryland,20113
25,Massachusetts,58302
26,Michigan,39262
27,Minnesota,4181
28,Mississippi,6342
29,Missouri,7450
30,Montana,451
31,Nebraska,3517
32,Nevada,4821
33,New Hampshire,2010
34,New Jersey,113856
35,New Mexico,2974
36,New York,295106
37,North Carolina,9755
38,North Dakota,991
40,Ohio,16769
41,Oklahoma,3410
42,Oregon,2385
43,Pennsylvania,45137
45,Rhode Island,7927
46,South Carolina,5735
47,South Dakota,2313
48,Tennessee,10052
49,Texas,26357
50,Utah,4345
51,Vermont,862
53,Virginia,14339
54,Washington,13842
55,West Virginia,1095
56,Wisconsin,6289
57,Wyoming,536
