,Province_State,Confirmed
0,Alabama,16530
1,Alaska,424
3,Arizona,17877
4,Arkansas,6538
5,California,103813
6,Colorado,25107
7,Connecticut,41559
8,Delaware,9171
10,District of Columbia,8492
11,Florida,53285
12,Georgia,45266
15,Hawaii,647
16,Idaho,2770
17,Illinois,115833
18,Indiana,33068
19,Iowa,18586
20,Kansas,9371
21,Kentucky,9185
22,Louisiana,38802
23,Maine,2189
24,Maryland,49709
25,Massachusetts,94895
26,Michigan,56014
27,Minnesota,22947
28,Mississippi,14372
29,Missouri,12981
30,Montana,485
31,Nebraska,13249
32,Nevada,8248
33,New Hampshire,4389
34,New Jersey,157185
35,New Mexico,7364
36,New York,366733
37,North Carolina,25800
38,North Dakota,2481
40,Ohio,33915
41,Oklahoma,6273
42,Oregon,4086
43,Pennsylvania,74220
45,Rhode Island,14494
46,South Carolina,10788
47,South Dakota,4793
48,Tennessee,21679
49,Texas,60395
50,Utah,8921
51,Vermont,974
53,Virginia,41401
54,Washington,20764
55,West Virginia,1935
56,Wisconsin,16974
57,Wyoming,876
