,Province_State,Confirmed
0,Alabama,21422
1,Alaska,572
3,Arizona,28296
4,Arkansas,10080
5,California,136641
6,Colorado,28333
7,Connecticut,44179
8,Delaware,10020
10,District of Columbia,9474
11,Florida,66000
12,Georgia,53249
15,Hawaii,682
16,Idaho,3221
17,Illinois,129212
18,Indiana,38033
19,Iowa,22237
20,Kansas,10609
21,Kentucky,11707
22,Louisiana,43612
23,Maine,2606
24,Maryland,58904
25,Massachusetts,103889
26,Michigan,64998
27,Minnesota,28523
28,Mississippi,18123
29,Missouri,15352
30,Montana,554
31,Nebraska,15918
32,Nevada,10045
33,New Hampshire,5079
34,New Jersey,164796
35,New Mexico,9105
36,New York,379482
37,North Carolina,37227
38,North Dakota,2901
40,Ohio,39162
41,Oklahoma,7363
42,Oregon,4988
43,Pennsylvania,80870
45,Rhode Island,15691
46,South Carolina,15228
47,South Dakota,5523
48,Tennessee,27575
49,Texas,78208
50,Utah,12559
51,Vermont,1084
53,Virginia,51738
54,Washington,24354
55,West Virginia,2169
56,Wisconsin,21308
57,Wyoming,970
