,Province_State,Confirmed
0,Alabama,38962
1,Alaska,975
3,Arizona,84105
4,Arkansas,21197
5,California,238681
6,Colorado,33012
7,Connecticut,46572
8,Delaware,11510
10,District of Columbia,10365
11,Florida,158997
12,Georgia,84242
15,Hawaii,926
16,Idaho,6370
17,Illinois,144013
18,Indiana,45952
19,Iowa,29514
20,Kansas,14830
21,Kentucky,15842
22,Louisiana,60178
23,Maine,3294
24,Maryland,67918
25,Massachusetts,108882
26,Michigan,71089
27,Minnesota,36716
28,Mississippi,27900
29,Missouri,21035
30,Montana,1016
31,Nebraska,19310
32,Nevada,19101
33,New Hampshire,5802
34,New Jersey,171928
35,New Mexico,12276
36,New York,394079
37,North Carolina,66751
38,North Dakota,3615
40,Ohio,52865
41,Oklahoma,14119
42,Oregon,8931
43,Pennsylvania,91775
45,Rhode Island,16853
46,South Carolina,37919
47,South Dakota,6826
48,Tennessee,45315
49,Texas,172368
50,Utah,22716
51,Vermont,1210
53,Virginia,63203
54,Washington,33435
55,West Virginia,2979
56,Wisconsin,29199
57,Wyoming,1514
