,Province_State,Confirmed
0,Alabama,18630
1,Alaska,466
3,Arizona,20129
4,Arkansas,7443
5,California,114733
6,Colorado,26563
7,Connecticut,42740
8,Delaware,9605
10,District of Columbia,8857
11,Florida,56830
12,Georgia,47902
15,Hawaii,652
16,Idaho,2839
17,Illinois,121234
18,Indiana,34830
19,Iowa,19699
20,Kansas,9920
21,Kentucky,10046
22,Louisiana,40341
23,Maine,2349
24,Maryland,53327
25,Massachusetts,100805
26,Michigan,57532
27,Minnesota,25208
28,Mississippi,15752
29,Missouri,13724
30,Montana,519
31,Nebraska,14345
32,Nevada,8702
33,New Hampshire,4685
34,New Jersey,160918
35,New Mexico,7800
36,New York,371711
37,North Carolina,29592
38,North Dakota,2625
40,Ohio,35984
41,Oklahoma,6573
42,Oregon,4302
43,Pennsylvania,76646
45,Rhode Island,14991
46,South Carolina,12148
47,South Dakota,5034
48,Tennessee,22566
49,Texas,65593
50,Utah,9999
51,Vermont,983
53,Virginia,45398
54,Washington,21977
55,West Virginia,2028
56,Wisconsin,18543
57,Wyoming,910
