,Province_State,Confirmed
0,Alabama,17359
1,Alaska,433
3,Arizona,19258
4,Arkansas,7013
5,California,109895
6,Colorado,26084
7,Connecticut,42022
8,Delaware,9422
10,District of Columbia,8717
11,Florida,55424
12,Georgia,46331
15,Hawaii,651
16,Idaho,2803
17,Illinois,118917
18,Indiana,34211
19,Iowa,19244
20,Kansas,9690
21,Kentucky,9704
22,Louisiana,39577
23,Maine,2282
24,Maryland,52015
25,Massachusetts,96301
26,Michigan,56969
27,Minnesota,24190
28,Mississippi,15229
29,Missouri,13298
30,Montana,505
31,Nebraska,13905
32,Nevada,8517
33,New Hampshire,4492
34,New Jersey,159608
35,New Mexico,7624
36,New York,369660
37,North Carolina,27794
38,North Dakota,2554
40,Ohio,35033
41,Oklahoma,6418
42,Oregon,4185
43,Pennsylvania,75697
45,Rhode Island,14819
46,South Carolina,11394
47,South Dakota,4960
48,Tennessee,22566
49,Texas,62675
50,Utah,9533
51,Vermont,977
53,Virginia,43611
54,Washington,21349
55,West Virginia,1989
56,Wisconsin,18230
57,Wyoming,898
