,Province_State,Confirmed
0,Alabama,11373
1,Alaska,388
3,Arizona,13169
4,Arkansas,4463
5,California,76693
6,Colorado,21232
7,Connecticut,36085
8,Delaware,7373
10,District of Columbia,6871
11,Florida,44138
12,Georgia,36772
15,Hawaii,638
16,Idaho,2351
17,Illinois,90369
18,Indiana,26656
19,Iowa,14049
20,Kansas,7886
21,Kentucky,7444
22,Louisiana,33837
23,Maine,1603
24,Maryland,36986
25,Massachusetts,83421
26,Michigan,50079
27,Minnesota,14240
28,Mississippi,10801
29,Missouri,10766
30,Montana,466
31,Nebraska,9610
32,Nevada,6733
33,New Hampshire,3453
34,New Jersey,143984
35,New Mexico,5662
36,New York,345813
37,North Carolina,17494
38,North Dakota,1761
40,Ohio,26954
41,Oklahoma,5087
42,Oregon,3541
43,Pennsylvania,64136
45,Rhode Island,12219
46,South Carolina,8407
47,South Dakota,3887
48,Tennessee,16960
49,Texas,45721
50,Utah,6913
51,Vermont,933
53,Virginia,28672
54,Washington,17951
55,West Virginia,1447
56,Wisconsin,11685
57,Wyoming,716
