,Province_State,Confirmed
0,Alabama,25615
1,Alaska,660
3,Arizona,35706
4,Arkansas,12501
5,California,152300
6,Colorado,29115
7,Connecticut,45088
8,Delaware,10264
10,District of Columbia,9767
11,Florida,75568
12,Georgia,57681
15,Hawaii,728
16,Idaho,3399
17,Illinois,132543
18,Indiana,39909
19,Iowa,23926
20,Kansas,11101
21,Kentucky,12445
22,Louisiana,46619
23,Maine,2793
24,Maryland,61701
25,Massachusetts,105603
26,Michigan,66054
27,Minnesota,30471
28,Mississippi,19516
29,Missouri,16262
30,Montana,601
31,Nebraska,16730
32,Nevada,11201
33,New Hampshire,5318
34,New Jersey,166881
35,New Mexico,9723
36,New York,383324
37,North Carolina,44264
38,North Dakota,3080
40,Ohio,41148
41,Oklahoma,8231
42,Oregon,5377
43,Pennsylvania,83203
45,Rhode Island,15947
46,South Carolina,18795
47,South Dakota,5898
48,Tennessee,30343
49,Texas,88523
50,Utah,14313
51,Vermont,1127
53,Virginia,54506
54,Washington,25834
55,West Virginia,2290
56,Wisconsin,22758
57,Wyoming,1060
