,Province_State,Confirmed
0,Alabama,49174
1,Alaska,1268
3,Arizona,112671
4,Arkansas,26052
5,California,302484
6,Colorado,35507
7,Connecticut,47209
8,Delaware,12531
10,District of Columbia,10679
11,Florida,232718
12,Georgia,106727
15,Hawaii,1130
16,Idaho,9429
17,Illinois,151572
18,Indiana,49575
19,Iowa,33254
20,Kansas,17785
21,Kentucky,18245
22,Louisiana,71994
23,Maine,3486
24,Maryland,71447
25,Massachusetts,110897
26,Michigan,75063
27,Minnesota,40163
28,Mississippi,33591
29,Missouri,26410
30,Montana,1466
31,Nebraska,20623
32,Nevada,24904
33,New Hampshire,5973
34,New Jersey,174270
35,New Mexico,14251
36,New York,399513
37,North Carolina,79656
38,North Dakota,4071
40,Ohio,61331
41,Oklahoma,18497
42,Oregon,11188
43,Pennsylvania,97542
45,Rhode Island,17243
46,South Carolina,50691
47,South Dakota,7336
48,Tennessee,57591
49,Texas,236541
50,Utah,27356
51,Vermont,1272
53,Virginia,67988
54,Washington,38581
55,West Virginia,3826
56,Wisconsin,33908
57,Wyoming,1769
