,Province_State,Confirmed
0,Alabama,9889
1,Alaska,379
3,Arizona,11119
4,Arkansas,4012
5,California,67600
6,Colorado,19703
7,Connecticut,33554
8,Delaware,6277
10,District of Columbia,6272
11,Florida,40596
12,Georgia,33580
15,Hawaii,632
16,Idaho,2230
17,Illinois,77741
18,Indiana,24126
19,Iowa,11959
20,Kansas,6951
21,Kentucky,6440
22,Louisiana,31600
23,Maine,1436
24,Maryland,32587
25,Massachusetts,77793
26,Michigan,47182
27,Minnesota,11271
28,Mississippi,9501
29,Missouri,10068
30,Montana,458
31,Nebraska,8171
32,Nevada,6120
33,New Hampshire,3071
34,New Jersey,138754
35,New Mexico,4863
36,New York,335395
37,North Carolina,14938
38,North Dakota,1491
40,Ohio,24081
41,Oklahoma,4589
42,Oregon,3228
43,Pennsylvania,59939
45,Rhode Island,11274
46,South Carolina,7653
47,South Dakota,3517
48,Tennessee,14985
49,Texas,39258
50,Utah,6251
51,Vermont,927
53,Virginia,24081
54,Washington,16891
55,West Virginia,1360
56,Wisconsin,10219
57,Wyoming,662
