,Province_State,Confirmed
0,Alabama,10700
1,Alaska,383
3,Arizona,12216
4,Arkansas,4236
5,California,72798
6,Colorado,20475
7,Connecticut,34855
8,Delaware,6952
10,District of Columbia,6584
11,Florida,42402
12,Georgia,35427
15,Hawaii,638
16,Idaho,2293
17,Illinois,84694
18,Indiana,25473
19,Iowa,13289
20,Kansas,7518
21,Kentucky,6853
22,Louisiana,32662
23,Maine,1515
24,Maryland,34812
25,Massachusetts,80497
26,Michigan,48391
27,Minnesota,12917
28,Mississippi,10090
29,Missouri,10404
30,Montana,462
31,Nebraska,8912
32,Nevada,6476
33,New Hampshire,3299
34,New Jersey,141560
35,New Mexico,5364
36,New York,340661
37,North Carolina,16352
38,North Dakota,1647
40,Ohio,25721
41,Oklahoma,4858
42,Oregon,3416
43,Pennsylvania,62101
45,Rhode Island,11835
46,South Carolina,8030
47,South Dakota,3732
48,Tennessee,16370
49,Texas,43020
50,Utah,6620
51,Vermont,929
53,Virginia,26746
54,Washington,17512
55,West Virginia,1398
56,Wisconsin,10902
57,Wyoming,688
