,Province_State,Confirmed
0,Alabama,45785
1,Alaska,1180
3,Arizona,105094
4,Arkansas,24512
5,California,284012
6,Colorado,34647
7,Connecticut,47033
8,Delaware,12414
10,District of Columbia,10569
11,Florida,213794
12,Georgia,100470
15,Hawaii,1071
16,Idaho,8539
17,Illinois,149574
18,Indiana,48626
19,Iowa,32153
20,Kansas,16860
21,Kentucky,17519
22,Louisiana,68263
23,Maine,3440
24,Maryland,70396
25,Massachusetts,110338
26,Michigan,73900
27,Minnesota,39133
28,Mississippi,32214
29,Missouri,24918
30,Montana,1327
31,Nebraska,20201
32,Nevada,23785
33,New Hampshire,5932
34,New Jersey,173878
35,New Mexico,13727
36,New York,398237
37,North Carolina,76290
38,North Dakota,3898
40,Ohio,58904
41,Oklahoma,17220
42,Oregon,10605
43,Pennsylvania,95898
45,Rhode Island,17154
46,South Carolina,47352
47,South Dakota,7163
48,Tennessee,53514
49,Texas,216026
50,Utah,26033
51,Vermont,1254
53,Virginia,66740
54,Washington,37420
55,West Virginia,3505
56,Wisconsin,32556
57,Wyoming,1709
