,Province_State,Confirmed
0,Alabama,37175
1,Alaska,901
3,Arizona,74545
4,Arkansas,20257
5,California,223646
6,Colorado,32494
7,Connecticut,46362
8,Delaware,11376
10,District of Columbia,10292
11,Florida,146341
12,Georgia,79417
15,Hawaii,900
16,Idaho,5752
17,Illinois,142461
18,Indiana,45228
19,Iowa,28845
20,Kansas,14209
21,Kentucky,15347
22,Louisiana,57081
23,Maine,3219
24,Maryland,67254
25,Massachusetts,108768
26,Michigan,70223
27,Minnesota,35861
28,Mississippi,26567
29,Missouri,20825
30,Montana,919
31,Nebraska,19042
32,Nevada,17894
33,New Hampshire,5760
34,New Jersey,171272
35,New Mexico,11982
36,New York,393403
37,North Carolina,63736
38,North Dakota,3539
40,Ohio,51046
41,Oklahoma,13175
42,Oregon,8485
43,Pennsylvania,90467
45,Rhode Island,16764
46,South Carolina,34644
47,South Dakota,6716
48,Tennessee,42297
49,Texas,156706
50,Utah,21664
51,Vermont,1208
53,Virginia,62189
54,Washington,32253
55,West Virginia,2870
56,Wisconsin,28058
57,Wyoming,1450
