,Province_State,Confirmed
0,Alabama,10164
1,Alaska,379
3,Arizona,11383
4,Arkansas,4043
5,California,69329
6,Colorado,19879
7,Connecticut,33765
8,Delaware,6565
10,District of Columbia,6389
11,Florida,40982
12,Georgia,34002
15,Hawaii,634
16,Idaho,2260
17,Illinois,79007
18,Indiana,24627
19,Iowa,12373
20,Kansas,7159
21,Kentucky,6677
22,Louisiana,31815
23,Maine,1462
24,Maryland,33373
25,Massachusetts,78462
26,Michigan,47552
27,Minnesota,11799
28,Mississippi,9674
29,Missouri,10157
30,Montana,459
31,Nebraska,8407
32,Nevada,6152
33,New Hampshire,3160
34,New Jersey,140206
35,New Mexico,5069
36,New York,337055
37,North Carolina,15274
38,North Dakota,1518
40,Ohio,24777
41,Oklahoma,4613
42,Oregon,3286
43,Pennsylvania,60459
45,Rhode Island,11450
46,South Carolina,7792
47,South Dakota,3614
48,Tennessee,15544
49,Texas,40555
50,Utah,6362
51,Vermont,926
53,Virginia,25070
54,Washington,17122
55,West Virginia,1366
56,Wisconsin,10418
57,Wyoming,669
