,Province_State,Confirmed
0,Alabama,9668
1,Alaska,378
3,Arizona,10960
4,Arkansas,3747
5,California,66558
6,Colorado,19375
7,Connecticut,32984
8,Delaware,6277
10,District of Columbia,6102
11,Florida,40001
12,Georgia,32588
15,Hawaii,631
16,Idaho,2205
17,Illinois,76085
18,Indiana,23732
19,Iowa,11671
20,Kansas,6829
21,Kentucky,6440
22,Louisiana,31417
23,Maine,1408
24,Maryland,31534
25,Massachusetts,76743
26,Michigan,46815
27,Minnesota,10790
28,Mississippi,9378
29,Missouri,9911
30,Montana,458
31,Nebraska,8093
32,Nevada,6171
33,New Hampshire,3011
34,New Jersey,137397
35,New Mexico,4778
36,New York,333122
37,North Carolina,14478
38,North Dakota,1464
40,Ohio,23697
41,Oklahoma,4490
42,Oregon,3160
43,Pennsylvania,58560
45,Rhode Island,10989
46,South Carolina,7531
47,South Dakota,3393
48,Tennessee,14768
49,Texas,38394
50,Utah,6103
51,Vermont,921
53,Virginia,23196
54,Washington,16674
55,West Virginia,1323
56,Wisconsin,9939
57,Wyoming,653
