,Province_State,Confirmed
0,Alabama,30454
1,Alaska,758
3,Arizona,54599
4,Arkansas,16083
5,California,184765
6,Colorado,30689
7,Connecticut,45782
8,Delaware,10820
10,District of Columbia,10058
11,Florida,100217
12,Georgia,65928
15,Hawaii,816
16,Idaho,4256
17,Illinois,137224
18,Indiana,42633
19,Iowa,26146
20,Kansas,12428
21,Kentucky,13839
22,Louisiana,50239
23,Maine,2971
24,Maryland,64603
25,Massachusetts,107210
26,Michigan,67957
27,Minnesota,33227
28,Mississippi,22329
29,Missouri,18592
30,Montana,734
31,Nebraska,17963
32,Nevada,13528
33,New Hampshire,5558
34,New Jersey,169415
35,New Mexico,10694
36,New York,388488
37,North Carolina,53964
38,North Dakota,3313
40,Ohio,45537
41,Oklahoma,10734
42,Oregon,7083
43,Pennsylvania,86576
45,Rhode Island,16459
46,South Carolina,25666
47,South Dakota,6326
48,Tennessee,35553
49,Texas,117790
50,Utah,17906
51,Vermont,1163
53,Virginia,58465
54,Washington,28870
55,West Virginia,2552
56,Wisconsin,25068
57,Wyoming,1230
