,Province_State,Confirmed
0,Alabama,14117
1,Alaska,407
3,Arizona,16053
4,Arkansas,5775
5,California,92539
6,Colorado,23964
7,Connecticut,40022
8,Delaware,8529
10,District of Columbia,7966
11,Florida,50127
12,Georgia,42242
15,Hawaii,643
16,Idaho,2595
17,Illinois,107796
18,Indiana,30901
19,Iowa,16898
20,Kansas,8946
21,Kentucky,8571
22,Louisiana,36925
23,Maine,2013
24,Maryland,45495
25,Massachusetts,91662
26,Michigan,54365
27,Minnesota,19845
28,Mississippi,13005
29,Missouri,11966
30,Montana,479
31,Nebraska,11963
32,Nevada,7526
33,New Hampshire,4089
34,New Jersey,153140
35,New Mexico,6625
36,New York,359926
37,North Carolina,22864
38,North Dakota,2365
40,Ohio,31408
41,Oklahoma,5960
42,Oregon,3888
43,Pennsylvania,71009
45,Rhode Island,13952
46,South Carolina,9895
47,South Dakota,4464
48,Tennessee,19785
49,Texas,54776
50,Utah,8260
51,Vermont,954
53,Virginia,35749
54,Washington,19265
55,West Virginia,1705
56,Wisconsin,14877
57,Wyoming,813
