,Province_State,Confirmed
0,Alabama,7088
1,Alaska,355
3,Arizona,7655
4,Arkansas,3281
5,California,50130
6,Colorado,15284
7,Connecticut,27700
8,Delaware,4734
10,District of Columbia,4323
11,Florida,33690
12,Georgia,26264
15,Hawaii,618
16,Idaho,1984
17,Illinois,52918
18,Indiana,17835
19,Iowa,7145
20,Kansas,4413
21,Kentucky,4708
22,Louisiana,28001
23,Maine,1095
24,Maryland,21742
25,Massachusetts,62205
26,Michigan,41379
27,Minnesota,5136
28,Mississippi,6815
29,Missouri,7818
30,Montana,453
31,Nebraska,4281
32,Nevada,5053
33,New Hampshire,2146
34,New Jersey,118652
35,New Mexico,3411
36,New York,304372
37,North Carolina,10754
38,North Dakota,1067
40,Ohio,18027
41,Oklahoma,3618
42,Oregon,2510
43,Pennsylvania,47971
45,Rhode Island,8621
46,South Carolina,6095
47,South Dakota,2449
48,Tennessee,10735
49,Texas,28727
50,Utah,4672
51,Vermont,866
53,Virginia,15847
54,Washington,14327
55,West Virginia,1125
56,Wisconsin,6854
57,Wyoming,559
