,Province_State,Confirmed
0,Alabama,35441
1,Alaska,880
3,Arizona,73920
4,Arkansas,19818
5,California,215296
6,Colorado,32290
7,Connecticut,46303
8,Delaware,11226
10,District of Columbia,10248
11,Florida,141075
12,Georgia,77210
15,Hawaii,899
16,Idaho,5322
17,Illinois,141723
18,Indiana,44930
19,Iowa,28520
20,Kansas,13847
21,Kentucky,15232
22,Louisiana,56236
23,Maine,3191
24,Maryland,66777
25,Massachusetts,108667
26,Michigan,69946
27,Minnesota,35549
28,Mississippi,25892
29,Missouri,20689
30,Montana,863
31,Nebraska,18899
32,Nevada,17160
33,New Hampshire,5747
34,New Jersey,171182
35,New Mexico,11809
36,New York,392539
37,North Carolina,62248
38,North Dakota,3495
40,Ohio,50309
41,Oklahoma,12947
42,Oregon,8341
43,Pennsylvania,89863
45,Rhode Island,16661
46,South Carolina,33320
47,South Dakota,6681
48,Tennessee,40172
49,Texas,150152
50,Utah,21100
51,Vermont,1202
53,Virginia,61736
54,Washington,31752
55,West Virginia,2832
56,Wisconsin,27743
57,Wyoming,1417
