,Province_State,Confirmed
0,Alabama,3734
1,Alaska,277
3,Arizona,3705
4,Arkansas,1410
5,California,23931
6,Colorado,7691
7,Connecticut,13381
8,Delaware,1758
10,District of Columbia,1955
11,Florida,21019
12,Georgia,13315
15,Hawaii,504
16,Idaho,1426
17,Illinois,22025
18,Indiana,8359
19,Iowa,1710
20,Kansas,1390
21,Kentucky,2018
22,Louisiana,21016
23,Maine,698
24,Maryland,8936
25,Massachusetts,26867
26,Michigan,25635
27,Minnesota,1621
28,Mississippi,2942
29,Missouri,4515
30,Montana,394
31,Nebraska,814
32,Nevada,2990
33,New Hampshire,985
34,New Jersey,64584
35,New Mexico,1262
36,New York,195749
37,North Carolina,4886
38,North Dakota,331
40,Ohio,6975
41,Oklahoma,2069
42,Oregon,1584
43,Pennsylvania,24292
45,Rhode Island,2665
46,South Carolina,3391
47,South Dakota,868
48,Tennessee,5610
49,Texas,14275
50,Utah,2363
51,Vermont,748
53,Virginia,5747
54,Washington,10635
55,West Virginia,611
56,Wisconsin,3428
57,Wyoming,275
