tweet,location
"Social Distancing Live Music 🎶 Brandon is an amazing violinist and always make sure that we are practicing social distance! ❤️
•
•
•
•
#violin #violinist #soloviolinist #socialdistancingmusic #livemusic… https://t.co/N95wZ099ld",California
Social distancing @ Mammoth Hot Springs Historic District https://t.co/pTyIkR7TWy,Wyoming
"COVID-19 update @ Queens, New York https://t.co/TCCpJ9Awyv",New York
Did… did the coronavirus write this? https://t.co/3moaR73cTG,Maryland
"Stupidity kills. ""Donald Trump: ""COVID, COVID-19, COVID. I said what's the 19? COVID-19. Some people can't explain the 19.""
19 stands for the year the virus started, shithead. 2019.
19 is also your IQ."" ~Jack… https://t.co/6FI5TGtCe1",Florida
Being Newlyweds in a Global Pandemic   https://t.co/upYGijs8bS,New York
"Big s/o to https://t.co/7t51UZkYkL_nanalovae if your in orlando looking to get your nails done, contact her and set up an appt. #follow #support #smallbusiness #nailsbynana #orlandofl uses proper precautions during this covid-19… https://t.co/oFzU7cAGcB",Florida
We explored an unspoiled and uncrowded corner of #MemorialPark today on our #dailywalk. #flattenthecurve #itsbetteroutside #motherdaughtertime #urbanhikers @ Memorial Park Conservancy https://t.co/ypVIutU4J9,Texas
"Posted withregram • ahacentralvalley Looking for a way to talk to kids about COVID-19 in an age appropriate way? Tiny Docs, alumni of the AHA’s EmPOWERED To Serve Business Accelerator™, has a cartoon with Dr. Patches… https://t.co/lGqKvrU4JA",California
"a portrait | from a distance ———————————————
#quarantine #covid_19 #pendemic #2020 #virus #social #socialdistancing #ourworld🌎 #sanfrancisco #demetriusphilpdotcom #portraitsbydp #blackpeoplenews #facemask… https://t.co/WFdOjVUcf2",California
"DISPONIBLE YA: @eladiocarry_on - Corona Freestyle (Video Oficial) - https://t.co/mVc2AroYfH via @BlazeMusicNet #newvideo #Musicvideo #eladiocarrion #CoronaFreestyle #BlazeMusicnet @ New York, New York https://t.co/fwu1TUuxDc",New York
