tweet,location
"She did it! 🎓👏🎓👏🎓👏🎓 Today was suppose to be this cute girls nursing graduation👩‍⚕️ but because of Covid, it had to be cancelled! 👎 🦠 Lauren you have worked so hard for this, and now all… https://t.co/tkPYtmmiNB",Utah
April 21- Hollywood Walk of Fame #ghosttown #covid19 #hollywoodandhighland #walkoffame #noon #saferathome #losangeles @ Hollywood https://t.co/JRHHdkzD3r,California
"Drone captures a two-and-a-half-mile line of thousands of people starving for food in #Centurion, South #Africa during the #lockdown due to the #Covid19 #Coronavirus #Plannedemic. The rich get richer and the poor… https://t.co/c3UjJiP2Do",California
"Custom reusable sublimated face masks available.  Don’t hide your image just because you want to protect the community! 

#community 
#covid19 
#gemsports 
#screenprinting 
#embroidery 
#sublimationprinting… https://t.co/SCcLulgGDo",New Jersey
"COVID-19 has changed the world, and the shots we snagged on a social-distanced skeleton crew in post-COVID Red Lodge told the story. #roadangeltv #roadangel #theroadangel #roadangeldanielleegnew #redlodgemontana… https://t.co/NrcBpNmRwC",Montana
#NOFILTER. Pollution. I want to cry... 😭😭😢😢 🌎🌏🌍One of the beautiful things about Covid-19 was seeing air get so unbelievably clear. I’ve never seen anything like it before in my life. I… https://t.co/Lkh5dGF9cv,California
"COVID-19 update @ Queens, New York https://t.co/rnGTJT7gYt",New York
"#anabelgonzalezfigueroa #tiktok #maldito #coronavirus @ Spanish Lakes, Hialeah, Florida https://t.co/5lHgz0eCeI",Florida
"COVID antibody testing in Denver. Haven’t had symptoms... we’ll see if I had it. This is a tricky virus. @ Denver, Colorado https://t.co/S98cfMZeMJ",Colorado
"COVID-19 update @ Queens, New York https://t.co/mXrxKXcPnH",New York
"Pandemic EBT
Pandemic EBT (P-EBT) benefits will be available for eligible California families soon!
Due to Coronavirus (COVID-19), children who are eligible for free or reduced-price meals at school will get extra… https://t.co/njWEgQ076D",California
"Alot of years of friendship in this photo. Love these two! (I might have had the Corona Virus in this pic, no bullshit....sorry @itsmejillkimmel and @petegiovine, love u guys!) #tbt @ Jimmy Kimmel's Comedy Club https://t.co/ZEzN8w1sir",Nevada
"May Days!!  
*
*
The online (zoom) classes for those w MS and other Movement Challenges will continue through the end of May while we remain on self-isolation restrictions due to the Covid-19 pandemic. 
*
*
Saturdays… https://t.co/c0Q7oEq81r",California
"I need this in my life!! #CoronaVirus please don’t rob us of a beautiful #summer 🤷🏽‍♂️ I will be highly depressed 😞 #WeNeedOurSummerMan #quarantinedepression #tbt @ Ocean City, Maryland https://t.co/AMnICjEtko",Maryland
