tweet,location
Covid-19 certificates Paws and Pamper is a clan and friendly place #pawsandpamper #pawsandpampergrooming #pawsandpamperboutique #pawsampercovid19#covid19 #doggroomingcovid19 @ Paws and Pamper https://t.co/zZJTbBHDzg,Montana
Ooooooh snap! Look what I got in the mail today from mrs4b and @dj4b! Thank you guys so much fam. #much appreciated. andrewtamayotat2s and I will enjoy these. #support #dj #covid19 #masks #custom #dj4b #4B #music… https://t.co/X54n8CAVUL,Arizona
"We're hiring! Read about our latest job opening here: Construction Site - COVID-19 Screener - EMT - https://t.co/gOjNfp21pp #Healthcare #NewYork, NY",New York
"Come train, small price, big quality. Plus, y’all know you bored af and wanna train again. Come through. $30 is mad cheap fr. Ima have masks for y’all too so we can be covid safe. 💯 @ Rockville, Maryland https://t.co/TJliBaswuU",Maryland
Lots of pasta #food #foodporn #foodphotography #foods #foodstagram #foodgasm #foodlover #foodpornshare #instafood #bonappetit #foodbeast #foodpic #foodpics #foodlove #houston #htx #hou #coronavirus #lategram… https://t.co/2AOmB247iJ,Texas
"I worry the protests will cause a massive spike in Covid cases among young people. Look at this Seattle crowd (nytimes photo). Spooky. @ Pomona, California https://t.co/bY1PiIMPr8",California
"Unfortunately,  Covid-19  is not the only sickness which inflicts our… https://t.co/PKwE7Kdk2I",California
What a year this has been so far.. heartache and feeling good moments. Sad and happy moments. I have lost a uncle to Covid-19 and I also had felt the impact of it within my family. I… https://t.co/VkMmhYxhrE,Louisiana
Fuck @TysonFoods https://t.co/wQqlJ2jRee,Washington
"I will miss this place, the latest caustic the economic downturn #theburgundian #seattleeater #seattleeats #seattlerestaurants #aroundseattle #seattle #seattlewashington #covid19 #casualty #seattlelife @ Burgundian… https://t.co/nR2VepCBWI",Washington
"Moments ago: Sunset Station reopened its doors for the first time since the Coronavirus pandemic #sunsetstation #henderson @ Henderson, Nevada https://t.co/jhRPqyU5Gd",Nevada
"The inventor of a ground-breaking COVID-19 test described his “eureka moment” when he realized he could adapt existing tech to create a rapid virus test.
 
Dr. Chris Toumazou is co-founder of DNA Nudge, producer of… https://t.co/5T4oAaqMhh",New York
"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Wednesday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email https://t.co/zJVgwUVHl3 #atx #austin #all512",Texas
"https://t.co/q1bIRBjDj8 There have been 500 new cases of coronavirus in the Austin area in the past eight days, Austin Public Health officials said Wednesday. Janet Pichette, APH https://t.co/u0yUoTuqEd #atx #austin #all512",Texas
"❤️☕️Two weeks ago, I set up a fundraiser on Facebook to support a local fledgling business here in Columbia. Love Coffee had barely opened its doors when the Covid-19 pandemic closed their doors. As a business owner… https://t.co/ZDhBmzXU4M",Missouri
"🚨 Quarantine Day 71 🚔
-
-
-
-
#fentonsroadtrip 🥝🥝🥝
#skateboardingbackpacker 
#traveltipsbykiwi #solokiwi  
#breakfastwithcoronachris #corona 
#teamlightwork #skateboarding #doubleteam #skateboardinglife 

#getstoked… https://t.co/Gt6SVgyGxG",California
"We are fighting a pandemic in a pandemic. You’re risking your life going out to protest during corona virus, factor in being brown you’re just increasing the odds of something bad happening to you. On top of that… https://t.co/L5CMr6YAUv",California
Pues yo creo que si se parecen.... 🤔⭐⭐⭐⭐⭐⭐bcnlegendz it's the next level. #bcnlegends #urbangraffitisbcn #artdengroundmoviment #blegends #ACABose #coronavirus #covid_19 #cuarentena #desescalada #fase1 en United States https://t.co/vtoBxpK2Lq,Kansas
"#justiceforgeorgefloyd #protest and #coronavirus means more dead black people... #facts💯 #blacklivesmatter 

#education #technology #travel #dna #africanamerican #afrimerican #vibes #africanculture #culture #african… https://t.co/sWPnbZgmpe",Massachusetts
"Strictly from the heart ❤️ 
Song: 100 Years by @pbekingmalik
Photos By @Bradintin 
Vids By casbangz_ 
.
.
.
.
#protest #blacklivesmatter #soul #kingmalik #K!ngMal!k #pbe #paperbanditz #peace #love #qurantine #covid… https://t.co/iQ7ojEvir8",Louisiana
"And counting...
#COVID19 #pandemic @ South Carolina https://t.co/XqESBDrTnS",South Carolina
"Keep Grinding 
.
.
.
.
.
.
.
.
#handmade #mascarillas #payday #covid19 #pandemic #reopening #keepgrinding💯 #keepgrowing #keepgiving @ Dale City, Virginia https://t.co/8ZZd2apBO3",Virginia
"The C.D.C. Waited ‘Its Entire Existence for This Moment.’ What Went Wrong?

A Genocidal Nazi #FakePresident, that's what!

https://t.co/tBZD5q8Wm9",District of Columbia
"Are you a one of the many #essentialworkers still grinding it out through #COVID? We want to offer you our products at a deep #discount for your hard work! Shoot us a message to get your #promocode! @ New York, New York https://t.co/Xb81t9nNB7",New York
"#covid19 did a number on us. Start this day with gratitude, knowing that tomorrow is not promised. #blessings @ Buffalo, New York https://t.co/BRxsbencZM",New York
"Going forward, we can channel our anger into peaceful, sustained, and effective action.
.
.
.
#road #roadway #grandcentralstation #grandcentralterminal #nyc_explorers #coronavirus #corona #virus #isolation #COVID19… https://t.co/8G3LgXBzO6",New York
"The Great COVID Taper of 2020 is officially over. Altho I felt like wet garbage in the water, it was amazing to be buoyant again after nearly three months away. Hoping to be back outside for some LCM’s with all my… https://t.co/kqDlbAzorZ",Ohio
Our new album COVID-19 vol.II will be released tonight at midnight (CET) on Bandcamp  https://t.co/bF0FIx3C11,New York
"#ITSWHURSDAY #HAPPYBIRTHDAYTOMYFATHER 
ALBERT S KELLUM AKA BUTCH AKA PIC AKA PICCALO 
69 YEARS YOUNG #TEAMGEMINI #GEMINISEASON 
ENJOY YOUR DAY WISH WE WASNT GOING THRU THIS #COVID19 HES FINE AT FUTURE CARE LOCHEARN… https://t.co/taetKxOtDA",Maryland
