tweet,location
Kudos to Sean Penn for using the power of his celebrity aid in the fight against COVID19 with his organization Core Response. He's been helping various communities with getting COVID19… https://t.co/TpXpFE4i1j,New York
"SUPPLY CHAIN INNOVATORS

DOXA INVESTMENTS INC
MEDICAL EQUIPMENT &amp; SUPPLIES FROM COMPANIES AROUND THE WORLD 
TRADE CONNECTIONS INTERNATIONAL TRADE &amp; DEVELOPMENT 

https://t.co/v3rpYniD5r

#covid19 #entrepreneurship… https://t.co/3ooG55h2jO",Florida
"FREE ADMISSION WITH TEXT!!!
Text Atlanta to 31377 for FREE text!

CORONA PARTY
WEDNESDAY, JUNE 3RD 10PM - 3AM
$5 Corona &amp; $22 Bucket of 6 Bottles

BLACK LIVES MATTER CELEBRATION
SUNDAY, JUNE 7TH 10PM - 3AM
FREE… https://t.co/w01IXsna8K",Georgia
Zibby set a goal to make the All Star team and worked hard for it.  Not even Covid-19 could keep her down.  She is beyond excited.  Thank you Coach @peterkarvelis and  peninsulayouthsoftball for the… https://t.co/b2TlaBYvn0,California
Last Friday was the last day for Popcorn to-GO.  Check out our online movies on demand movies that would have been in theaters but because of COVID19 they are available to you. www.mannsparkplaza https://t.co/j9ngrttPbM… https://t.co/smip47M7Kb,South Carolina
"Things are crazy right now but will this make you laugh. 😂 #covid19 😳#Trump2020 @ Huntington Beach, California https://t.co/1GNnhdBBhG",California
"Curfew or Covid...one thing you can be sure of is THE ART WILL NEVER STOP. Huge shout-out to banditgraffiti for being one of those artists.

#santeepublicgallery #spgcrew #neverstop #therealones #comewith #rideordie… https://t.co/zUIKUwubfe",California
"SUPPLY CHAIN INNOVATORS

DOXA INVESTMENTS INC
MEDICAL EQUIPMENT &amp; SUPPLIES FROM COMPANIES AROUND THE WORLD 
TRADE CONNECTIONS INTERNATIONAL TRADE &amp; DEVELOPMENT 

https://t.co/v3rpYniD5r

#covid19 #entrepreneurship… https://t.co/Fl5r6O3CiL",Florida
"UPDATE

Due to the COVID-19 outbreak, we at the Quinan Street Project have decided that it is most prudent to have our annual summer camp virtually.

Using a mix of live online learning via Zoom and cloud-based… https://t.co/1wLTajoT9o",California
"Happy June y'all! Let's see what the hell you have in stored for us. 👀 
•
•
•
•
•
 #wearenotworthy #june #covid19 #blacklivesmatter #blm #2020 #fuck2020 #stopracism #fuckracism @ Planet Earth https://t.co/QkpqnCc0FT",California
#Tiffany on Two Rodeo Drive boarded up along with all the other stores. COVID sign in foreground informing people not to touch the walk button. Pedestrian signal shows 13. 🤔 @ Rodeo Drive https://t.co/nwr4wXKP4v,California
Donnie Baker Presents the 2020 Version of The Sound of Music! All rights preserved! #StateLaw! #covid19 #riot #looting @ Japanese Garden Mobile Estates https://t.co/n65hHfRZNn,Florida
Wait about 2-3 more weeks. It’s possibly gonna double. https://t.co/yTZi4jd7NJ,Texas
"Tonight’s light show was spectacular.  #coronadelmar #sunset #rooftopsunset #pastel #skyonfire #dailypainting #artistsoninstagram @ Corona del Mar, California https://t.co/SpNGvyyAh0",California
"Wear Your Mask, Drink Water, and Focus Your Anger..👑✨😷 💧 🤬 🤞🏾🖤 #blackout #racism #coronavirus #sensoryoverload #change #enough #nomore #godprotectme #stopkillingus #positivevibes #fuck2020 #thiscantbereal #blm… https://t.co/whvZQ4sIRy",New York
Expect Coronavirus Vaccine Failure and Reactions https://t.co/kZCeQpjGF1 https://t.co/2qKOMkCyUE,California
"Instead of Covid 19 and protests over police brutality...

Can we just have a cookie?
Oatmeal or Chocolate Chip?

Wish it was that simple!

#cookiemonster #cookie #wecangetthroughthis #respect #peacefulprotest… https://t.co/CzxBZ1rKld",New York
"FREE ADMISSION WITH TEXT!!!
Text Atlanta to 31377 for FREE text!

CORONA PARTY
WEDNESDAY, JUNE 3RD 10PM - 3AM
$5 Corona &amp; $22 Bucket of 6 Bottles

@ ICE BAR RESTURANT &amp; LOUNGE
5456 W Fayetteville Rd #700, Atlanta, GA… https://t.co/8bJtmV0M0N",Georgia
"Thank you, @iliana_gperez for the in-person #socialdistancing delivery!
I love my new masks by lupitasdesigns!!!!
.
.
.
.
.
#staysafe#stayhome#stayhealthy#covid19#coronavirus @ South San Francisco, California https://t.co/sZmdYOMVZL",California
"🔥💥NEW EPISODE DROPPING💥🔥 My Good Homie Chad Yamashiro, Businessman/Entrepreneur and Educator comes to the H.O.O.D. Studio to talk education, our state of schooling in a post Covid world, and a little politics on why… https://t.co/tiMIWsa9iN",Hawaii
"FREE ADMISSION WITH TEXT!!!
Text Atlanta to 31377 for FREE text!

CORONA PARTY
WEDNESDAY, JUNE 3RD 10PM - 3AM
$5 Corona &amp; $22 Bucket of 6 Bottles

@ ICE BAR RESTURANT &amp; LOUNGE
5456 W Fayetteville Rd #700, Atlanta, GA… https://t.co/61TkTA24xZ",Georgia
"FREE ADMISSION WITH TEXT!!!
Text Atlanta to 31377 for FREE text!

CORONA PARTY
WEDNESDAY, JUNE 3RD 10PM - 3AM
$5 Corona &amp; $22 Bucket of 6 Bottles

@ ICE BAR RESTURANT &amp; LOUNGE
5456 W Fayetteville Rd #700, Atlanta, GA… https://t.co/4wLWFkyJxg",Georgia
"FREE ADMISSION WITH TEXT!!!
Text Atlanta to 31377 for FREE text!

CORONA PARTY
WEDNESDAY, JUNE 3RD 10PM - 3AM
$5 Corona &amp; $22 Bucket of 6 Bottles

@ ICE BAR RESTURANT &amp; LOUNGE
5456 W Fayetteville Rd #700, Atlanta, GA… https://t.co/5ghBax1aeH",Georgia
"SCCG Management and its Founder Stephen A. Crystal, Esq. featured in https://t.co/TrbtCXm0Zz  International &amp; USA Editions on the topic of #iGaming exoansion in the USA in the time of COVID-19. Thank you to reporter Juan Ignacio… https://t.co/x6IguChIiQ",Nevada
"Finally recieved my RAM Records merchandise this weekend. Purchased mid-May, it was a little bit of wait in the mail due to the COVID-19 Pandemic tho. BIG UP! ramrecords Lanyard, Stickers, Sunglasses and USB! Still… https://t.co/2RUNUTNOw3",California
"ᴸᴬˢᵀ ᵂᴱᴱᴷᴱᴺᴰ ᵂᴱ ᵂᴬᴸᴷᴱᴰ (ˢᴷᴵᴾᴾᴱᴰ) ᴵᴺᵀᴼ ᵀᴴᴱ 1ˢᵀ ᴮᴬᴿ ᵂᴱ'ᵛᴱ ᴮᴱᴱᴺ ᵀᴼ ᴵᴺ ᴬᴸᴹᴼˢᵀ 10 ᵂᴱᴱᴷˢ....ᵀᴱᴬᴿˢ
⋫
⋫
⋫
#happymemorialday🇺🇸 #aframeinthepines #🖕🏼covid19 #weekendgetaway #mecanwi #gypsynomad… https://t.co/3n7hh7ImXe",Wisconsin
"ᴵᶠ ᴸᴵᶠᴱ ᴳᴵᵛᴱˢ ᵞᴼᵁ ᴺᵁᵀˢ....ᴮᴱ ᴬ ᴺᵁᵀ ᶜᴿᴬᶜᴷᴱᴿ🥜🐿!
⋫
⋫
⋫
#happymemorialday🇺🇸 #aframeinthepines #🖕🏼covid19 #weekendgetaway #mecanwi #gypsynomad #statesidetravels #northwoodswisconsin… https://t.co/UyWXUP3SDY",Wisconsin
#coronavirus2020 go away! #covid19 🤦❗🤦 @ Frackalicious Ville https://t.co/QGXici4rNc,Connecticut
"Omaha ⭐⭐⭐⭐⭐⭐bcnlegendz it's the next level. #bcnlegends #urbangraffitisbcn #artdengroundmoviment #blegends #ACABose #coronavirus #covid_19 #cuarentena #desescalada #fase1 en Omaha, Nebraska https://t.co/8UhSd32ntq",Nebraska
