tweet,location
"#presenting graduated of Allen high school of year 2020# year2020# go  inspire the world to live like you# never stop learning, # your senior was wild with covid19 but always excell… https://t.co/8Hd5zVOJzp",Texas
"Back when I wore a full face of makeup 💄👄~ my pre-Covid news reporting days ☺️lol😉... so now on a Friday night, my hair 🙆🏻‍♀️is up in a bun &amp; I am barely wearing mascara👀hee-hee!!  

Let’s be patient 😇friends...we… https://t.co/iBPTWISI4Z",California
"Rest In Peace
Jeffrey Davis 45 #Beto
Jose Martinez 67 #Clements
Adrian Duncan 51 #WayneScott
Thomas Weber 52 #Wynne

#RIP #covid19 #Prisoners #TDC #TDCJ 
Friday, May 22, 2020
COVID-19 TDCJ UPDATE
The Texas Department… https://t.co/k5wWYBhIGf",Texas
"We wish #patrickewing well and hope that he gets a speedy recovery after contracting #covid19.
More at: https://t.co/okedAf5cWu

📸 By Yusuf Abdullah/The Sports Pulse

#photography #sportsphotography #sportsphoto… https://t.co/99EnKibZfF",District of Columbia
"COVID-19 update @ Queens, New York https://t.co/k4bggZcfhL",New York
"It is clear that a remote vital tracking system is the need of the hour!
-Ranjana Nair

DOXA INVESTMENTS INC
COVID-19 MEDICAL EQUIPMENT &amp; SUPPLIES 
TRADE CONNECTIONS INTERNATIONAL TRADE &amp; DEVELOPMENT… https://t.co/aDkSajGd1K",Florida
Thanks for lunch jlbanger &amp; koreechan  💣.com #supportlocalbusiness #quarantinelife #covid19 #saferathome @ Sushi Murayama https://t.co/gwk21Eoe8Y,Hawaii
"Evening 2.4mi neighborhood walk checking in on #MomNPops #Sunset #Covid_19 #CoronaVirus @ Fremont, California https://t.co/RV4ICFYxui",California
"Some new COVID art play from my time at home, now showing in our virtual show ""Interval"" at @eyelounge online https://t.co/pbS1VD3sjJ.
🌳🌿🍃
""Backyard Tree Study"" 2020, Fuji Square Instant Film Prints, 3” x 3.5” (each)
Swipe for… https://t.co/ON8ECMnrNb",Arizona
"I was supposed to be in London today but instead, this will be my view thru June. Not to worry, I have lots to be grateful for and I’ll have a little more time to lose that COVID weight… https://t.co/4br7zMFrBf",California
🔥🏎 @gucci1017 @butlertire follow @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist #atlantatattooartist #atlantanails #atlantafalcons #atlantaphotographer #atlantarealestate… https://t.co/qUyzPZLOvk,Georgia
"Uncle Joe coming through with a message 😂😶😒🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️🤷🏻‍♂️ brah wat? 🙄
_______________
_______________
😶😩😔🤧😷🦠
🧪🧫🧬💊🩺💉
2️⃣0️⃣2️⃣0️⃣🔮🗓
⌛🕰🌘🌗🌖🌕
#2020 #covid_19 #covid #coronavirus #pandemic… https://t.co/bCKGIKzek1",District of Columbia
"COVID-19 Pandemic 
#2020 #EmptyCityStreets @ The Capitol, Washington D.C. https://t.co/neJXF9Yol8",District of Columbia
#alamoanacenter #happy60alamoana #fridayafternoon #summer #summer2020 Here is me at @alamoanacenter today this afternoon wearing a mask to prevent the spread of the coronavirus and also here is me in the flower… https://t.co/3z3s63FGTL,Hawaii
"After 3 months, thanks for the great #covid #haircut Tonya Rodgers! ...guess I should have taken a “before” selfie too. #noFilter @ Shagi Mane Hair and Nail Studio https://t.co/lAa9exvNba",Oregon
