tweet,location
"#part110 featuring #paulsimon singing about #corona also how it is driving with me 
🛋
👑
💉
#lofi #lofihiphop #boombap #lofimusic #nerdcorehiphop  #realrap #realrapbarz #AdotWAKE #ALMAL #philly #hiphopvlog #ALMALMUSIC… https://t.co/6FgHW6hITO",Pennsylvania
What a wonderful way to dine during #covid19 ! The kids could run around the garden where they grow many of the fruit and herbs and veggies used in their ingredients. We could sink our toes in the grass below our… https://t.co/ZZV8yHgosG,California
"Lockdown day 98: Since my COVID-19 viral test resulted negative the other day, I went for antibody testing today. Mostly for my curiosity- what if I get resulted positive (I have antibody) for some reason!? I’ll post… https://t.co/uWSefb74ih",New York
"BOOM! Runnin from da #Rona catching #feels in #nature AKA #AdultDisneyland 
☠️😷🏃🏻‍♀️🏃🏾‍♂️
 ...
#SocialDistancing our way down to #CascadeLake in #SouthLakeTahoe ☀️🌲⛰🏖🧘🏽‍♂️🧘🏻‍♀️
 ...
#LakeTahoe 
#Amazing #Wonderland… https://t.co/hOOgfInIRx",California
Melitta nights #N95 ☕️😷 @ UCSD Biomedical Sciences https://t.co/2Y6ZYGSJBQ,California
"Been watching #jeopardy during this #pandemic and I must say I know more than I thought I knew! #lol #whatsthequestion ?? @ Valley Stream, New York https://t.co/xRooIa26r8",New York
What if this was your backyard oasis in roundrocktexas ? #pandemic would not seem so bad right ?? Call me! We will be on the market next week! 5000 square feet of #fabulous #3homeoffices #texas -#theagentcy… https://t.co/y12hZmCx3N,Texas
It’s time to reopen our doors and your safety is our #1 priority. We have gone above and beyond to create a safe space for our Zooga families to enjoy some social distancing classes. Sign up for classes to ensure a… https://t.co/AhxxY7Nw21,California
"SOCIAL DISTANCING DAY 103. In which it rained some. #rainyday #exceptwhenitwassunny #quarantinelife @ Noblesville, Indiana https://t.co/tfanlrLw4F",Indiana
"Once upon a time there was COVID-19, the biggest fashion statement of 2020 instantly became Masks, everyone was wearing them athletes, models, teachers, and entrepreneurs. Masks became a thing and they are not going… https://t.co/jlQFobSJN3",California
Goddamn! The Sopranos predicted Covid 19 too??!!#sopranos #everhadoursausages #wearamask @ Hollywood https://t.co/hwVz4siA0Z,California
"4th of July is officially cancelled! No beaches, no bars, no bike trails (I hope they put sand traps on the trails again) #nofunallowed #coronavirus #freedom #liberty  #4thofjuly #flattenthecurve  #regress @ Los… https://t.co/fh6XEEGbEh",California
"It was a beautiful summer evening. How are you enjoying the weather? Ms. Lee and Ms. Zimmerman walked and talked (with masks) about the 2020-2021 school year and plans. 
.
.
.
#renton #coulon #socialdistancing #mask… https://t.co/KcKMCvwZXZ",Washington
"After a long months of lockdown, I went out for plein air painting last Sunday at Gull Park in Foster city. This is such a beautiful park with nice waterfront houses, lagoon and small sand beach...what a good sunny… https://t.co/Jk0OYB7Mwi",California
Some more cutting board routing today - finger grooves and edge round overs #woodworking #quarantine @dewalttough @ Lake Balboa https://t.co/E3TUJBdCph,California
"My goal this year is to help 20 people become homeowners in 2020! I do not want to lose sight of helping other people purchase their first home. Interest rates are super low right now. Despite the pandemic, the… https://t.co/CPDgrcCLGq",Pennsylvania
Why oh why mr. Coronavirus or mrs. Please stop taking my family in Christ away 🙏🙏🙏💙☝️💪😷😠💔 @ Michael's Palace North Miles Street Elizabethtown Kentucky https://t.co/IVGU4rp29P,Kentucky
"i've never visited the #african continent 🌍. and while it's been on my ""i'd love to travel there some day"" list, it ain't gonna happen any time soon, not with the soaring #covid19 cases here in the US and countries… https://t.co/tMsRrQOb9l",California
Thread: https://t.co/bJpoSx8dRS,California
To the Tik Tok you don't stop 😎 #festivalbro #quarantine #comedy @ Lollapalooza https://t.co/L6ydGqC7zC,Illinois
My favorite hobby during COVID-19 times #afternoonride #keepriding #keepmoving 🚴 #triathlontraining #triathlon @ Lake Sammamish https://t.co/h693kYBvXf,Washington
"We're FORCED to reopen way too soon when absolutely nowhere has peaked anywhere at all yet. #Coronavirus @ Sioux Falls, South Dakota https://t.co/mKu7umK6FW",South Dakota
"Stop The Spread! Stay Safe and Informed!

#stopthespread #staysafeandinformed  #socialdistancing #washyourhandsconsistently #wearyourmask #6feet #reading_clinic_inc_dyslexia #the_reading_clinic_inc… https://t.co/LAHCvK6CaW",Pennsylvania
