tweet,location
"Happy 4th of July! Stay Safe and Covid free.
#socialdistance  and use masks if necessary.
See you when ever it's over . #denton2night 
#Dentonnightlife #FrystNightlife #collegenightlife @ Little Elm, Texas https://t.co/h18WPyJFsN",Texas
"Like a Covid-year-bad-Oprah : 

Siggi gets a broken arm !
Caty gets a broken arm !
Everybody gets.....

Just those two.
A visiting  Polaris-buggy driver misjudged the terrain , her speed , and well, physics.

Winni… https://t.co/t9ScHoYhOR",New York
Drinking a Bourbon County Brand Mon Chéri Stout (2019) by @GooseIsland @ Offhaus Summer of COVID Brew Ha Ha — https://t.co/DETyBPFvyp,Wisconsin
Happy #4thofJuly #COVID19 style! @ Coney Island https://t.co/hUW0UWQJCo,New York
"#socialdistancing is no problem on the #lake!
#happy4thofjuly #4thofjuly #kyaking 🚣🏻‍♂️ #smithmountainlake @ Smith Mountain Lake, Virginia https://t.co/5RNiIF5CGg",Virginia
"7-4-2020.. going on 4 months of this covid nonsense, but we are still making the best of it.. me and my mini #kacee #Yadi #my girls  #quarantinelife #isitoveryet @ Hayward, California https://t.co/ibFBXHcO70",California
"I’m not entirely made out of money but I wish to help any way I can! I’m sitting on a lot of music and since realistically there’s no sign of this country grasping COVID’s extent, I will be releasing something weekly… https://t.co/qfzVXVxD2j",California
"Night and Day. Our yard is beautiful!
Perfect for a #microwedding #ceremony ❤

#stanmansion #microwedding #wedding #socialdistancing #celebrate #allweneedislove #elopement #bridetobe #groomtobe #bride #groom… https://t.co/uJM5IGP62k",Illinois
"Super congratulations to my love @beautynbosses 🙌
-
I came home one day from work and Lucia was so excited to tell me that she decided to start working with this company that allows her to have her own virtual… https://t.co/fcDJKs8rzu",Florida
Ok... This is getting a little crazy. I didn't write the law but I agree with the guy we elected. Mask up or we MAY have to lockdown again... Since caring about the safety of others isn't doing it for you @ Quail… https://t.co/IjqZBwpu7t,North Carolina
"Very lucky.  On a boat.  Social distancing fireworks. @ Manitowish Waters, Wisconsin https://t.co/DVlfPc1Dzr",Wisconsin
"No Sit, Clem’s #socialdistancing #socialdistancingdrinking #clemsbrooklyn #clems #clemsnumber1forever #clemsnumber1 #williamsburgbrooklynnyc #williamsburgbrooklyn #williamsburg #brooklynnyc #brooklyn #nyc #nofilter… https://t.co/kuY94b4WHP",New York
"Day at the beach, pandemic style. 
#Alkibeach #seattle #seattlewa #Alki #covid19 #pandemic #pudgetsound #daydream #summervibe #futurevlog @ Alki Beach Park https://t.co/2BVvjJs63Z",Washington
"Incredible #moon tonight over #hamlinlake for #covid19 #quarantine #fireworks #sparklers #boatlife #puremichigan #pureludington @ Hamlin Lake, Michigan https://t.co/gbMAE0O8L0",Michigan
"Missing porch time with @mdub71 because it is too loud and smoky, so I am watching RAMY on Hulu and reading ""How to Be an Antiracist"" by Ibram X Kendi. #socialdistancing #covid_19 #blacklivesmatter @ Lincoln, Nebraska https://t.co/5YXAuSnj4D",Nebraska
"Beautiful sunset and moonrise on our #daily walk this evening, with gorgeous flowers in between! #flattenthecurve #itsbetteroutside #motherdaughtertime @ Helen's Park https://t.co/WMsqC0rq39",Texas
"Independence Day was Lit! 🔥Every neighborhood had a million fireworks...never seen it like this before. All that pent up CoVid energy...ppl had to come and show out! @ Brooklyn, New York https://t.co/LzP7hn8IG0",New York
"COVID-19 restrictions, concerns linger as NJ preps for 4th of July https://t.co/r4kHqJtHWH https://t.co/HROR0bNZFZ",Oregon
"Hope you are all enjoying time with friends, family near and far! God Bless from ours to yours. See you next week!

Stay Positive and Safe!
Wash Hands, Hand Sanitizer, Face Masks &amp; Social Distancing.… https://t.co/dxwH6cw5Tj",Ohio
"Flowers, Lefrak City #flowers #lefrakcity #coronaqueensnyc #coronaqueens #corona #queens #nyc #nofilter #unedited #canon77d #canonphotography #canonphotographer #24mm70mmf4 @ Lefrak City Singapore Building https://t.co/pa4qrFEODW",New York
"COVID-19 update @ Queens, New York https://t.co/clhsfi87ns",New York
"Dueling smokers and sides with our neighbors was a success! The pandemic has taken many things away but it has given us other things to appreciate just as much, such a getting to know our neighbors better 😊. (Not… https://t.co/yi59xU5BCw",Ohio
"Happy 4th of July. Wearing masks and social distancing @ Irvine, California https://t.co/EEdaLz8wHc",California
twistcreative design for outdoor pillows. 😍🇺🇸👍❤️ #covid19 #socialdistancing #campingatmohican @ Mohican State Park https://t.co/LT6jv2jImi,Ohio
When Someone trying to Book #dj #alexanderjokinsky #2020 During Pandemic? @ Las Vegas Strip https://t.co/Hrk1OX7kly,Nevada
Happy Fourth of July 2020 Fireworks from the Empire State Building during a full buck moon #macysfireworks #covid times #empirestatebuidling #nyc #fullbuckmoon #weehawken #njnails #magical… https://t.co/oOIrRIxqh8,New Jersey
Happy Fourth of July 2020 Fireworks from the Empire State Building during a full buck moon #macysfireworks #covid times #empirestatebuidling #nyc #fullbuckmoon #weehawken #njnails #magical… https://t.co/Vn0W3xPfhK,New Jersey
"Happy 244th B-Day America and hopeful for a chill 244 more past the worst pandemic in a century! 😷😉😁 @ Grand Prairie, Texas https://t.co/8sCooEQdKJ",Texas
"Happy 4th of July to everyone #4ofjuly🇺🇸 #besafe #useyourfacemask #temmybraids #socialdistancing @ Arlington, Texas https://t.co/6mS1C2AUVz",Texas
"The Pandemic’s Big Mystery: How Deadly Is the Coronavirus?: Even with more than 500,000 dead worldwide, scientists are struggling to learn how often the virus kills. Here’s why. https://t.co/5EsLnzVVzv (vía NYtimes) https://t.co/AmWR8F8f2B",New York
What Hong Kong’s Pandemic Experience Taught Uber About Other Cities: The city was among the first to close and among the first to reopen. But Uber’s lessons there could be difficult to duplicate elsewhere. https://t.co/fTUPdnBkzs (vía NYtimes) https://t.co/o0fBAFHF4C,New York
"DNA Linked to Covid-19 Was Inherited From Neanderthals, Study Finds: The stretch of six genes seems to increase the risk of severe illness from the coronavirus. https://t.co/1MKFGlSz2D (vía NYtimes) https://t.co/8gCU4PfHxu",New York
"239 Experts With 1 Big Claim: The Coronavirus Is Airborne: The W.H.O. has resisted mounting evidence that viral particles floating indoors are infectious, some scientists say. The agency maintains the research is still inconclusive. https://t.co/nODxlsLFQ6 (vía NYtimes) https://t.co/PQKcuMEWgh",New York
"Rain storms! Mandated mask requirements! Social distancing! We are professionals! 

Behind the scenes with @lisampresnell at Kala and Andrew’s Independence Day Wedding Celebration. 

Four years ago I had the pleasure… https://t.co/Qe1A2PCPOZ",Florida
"This is how you do the 4th of July and Addy’s birthday social distancing style. Fireworks for days and a great show put on by bamadrew323 and donaldbradberry, a beautiful birthday party… https://t.co/Y1gHTjxzm9",Alabama
"When my man spannsonn told me this was his favorite cove at LKN State Park, I immediately understood why!  Tranquil.  Peaceful.  Quiet.  Perfect for social distancing...to the extent where we ran into one couple the… https://t.co/Ty2soClsMd",North Carolina
"I had a great untraditional #4thofjuly I even discovered stickers!!! Get like me!
THANKS #covid19
#happyindependenceday #july4th #dogsofinstagram @ Wyandotte https://t.co/iCDB3E6kbv",Kentucky
"Trump official stupidly claims China ‘deliberately’ sent coronavirus to US as cases soar across country.

What's even the point anymore.

https://t.co/tymUtG1Y2r",District of Columbia
"DAY 186 OF 2020.
.
.
.
Fly boy in the buttermilk...
(Title of a Great avantgroidd writing collection)
.
Scenes from Social Distancing.
.
Shot with iPhone 11 Pro Max
.
April 2020 Downtown, Los… https://t.co/8DbuXZyOsU",California
"Happy 4th of July. I've got surround sound of fireworks in my bedroom from Daly City, Pacifica and SF. spoiled. Plus a walk at Montara Mountain trail. #4thofjuly #fireworks #covid19 #socialdistancing2020 #dalycity… https://t.co/ANZ1mfvOgU",California
because open only on saturday just isn’t enough 💕💜 #shoes #handbags #clothing #dessert #sheabutter #glamsquad #girlboss #smallbusiness #shopsmall #quarantine #tiktok #zoom #solegirlfashionmarket #business #casual… https://t.co/zjHlOmcUJZ,Maryland
"Bingo in the time of COVID-19 #bingo #masks #gloves #covid19 @ Bingo Emporium Springfield, MO https://t.co/WeI9Q9HzBF",Missouri
"😂😳😂😳😂😳😂😳😂😳😂😳
@UBThomas looking at the next COVID19 PAYMENT.

KENTUCKY DERBY 2020.......#READY OR NOT? #louisvillelip_

THE CHIN WILSON SHOW®™©

📰 THE PHELPS DAILY JOURNAL, LLC📰®™© @ Louisville, Kentucky https://t.co/qn4vdosNC8",Kentucky
"Went for a bike ride and caught the tail end of the @RapidsRafters  fireworks. #forthofjuly #socialdistancing #wisconsin #optoutside🌲 @ Wisconsin Rapids, Wisconsin https://t.co/vFUUPtiiRa",Wisconsin
"Social distancing 🌬⛵️ @ Sausalito, California https://t.co/VGVmypx7IJ",California
"Due to an increase in coronavirus cases in OC we will adjust our services a bit tomorrow to make sure everyone is safe from exposure. Our singing time will be slightly altered to scripture reading put to music, as… https://t.co/jeIE644s5K",California
#4thofjuly #horrorfilm #production #nightshoot #cleanaudio #problemsolving when you have a 30 day shoot! #thankful #socialdistancing and #takingit #onesetup #atatime with #producing #directing Homie hwoodfilm and… https://t.co/7X8l8yeR9O,New York
"Loving the 4th of July although Covid limited the parties #4thofjuly #freedom #theycantakeourlivesbuttheycannevertakeourfreedom @ Seattle, Washington https://t.co/qTBFe9gm6N",Washington
"So great to #quarantine ourselves in #newmexico #thelandofenchantment. Heaven was a pair of #hikingboots, #walkingsticks, a #trail and Joel, my #hubby. Natural and wondrous beauty all around, our senses were on… https://t.co/D2zWDaQLvM",New Mexico
"Corn hole. The ultimate social distancing game. 

#happy4th 🇺🇸 @ Auburn, Washington https://t.co/tBZeylNH5o",Washington
"We were able to have a fun little boat show on our lake (since we’re in high fire season, no fireworks were allowed &amp; CoVid sucks) 
#Happy4thofJuly🇺🇸✨ #Summer2020 #MatchingOutfits… https://t.co/U3aMWEAxx9",California
AFRICAN-AMERICANS face a DOUBLE-WHAMMY coronavirus THREAT through NO fault OF their OWN because THEY are MORE likely TO have PRE-EXISTING conditions THAT can MAKE the CORONVIRUS more DANGEROUS and DEADLY - Dr A… https://t.co/4tPpygxldL,Florida
"Happy 4th! We were social distancing but got together for this quick pic. @ Pacifica, California https://t.co/vMhV7kfR56",California
"The only thing I captured yesterday. 😆🔥💨👍🏽 Celebrated the 4th, after getting home from work, by staying home doing smoke bombs and sparklers.  Had some neighborhood surprise fireworks though! 🎆🎇 AND had a good old… https://t.co/3FrLayDuYo",Ohio
"365+ Days of Strength: (Sound On)

Hot Todd Lincoln’s COVID-19 Capers: Volume 35

Sparkler Shenanigans 

I hope everyone had a safe and enjoyable 4th of July. Let’s reflect on this past year and see how we can let… https://t.co/T84YXTm0ky",Maryland
H a p p y  4th!  Video taken while practicing social distancing from inside Tesla Model Y looking out the awesome glass roof. Bonus was that it was a nice climate-controlled 71 degrees and zero mosquitoes in the… https://t.co/w28sqJeQ68,Minnesota
How we do tourist stuff during COVID-19🙅🏻‍♀️🙅🏼‍♀️The nice part is there aren’t many people down town. Scroll through to see how Illinois flattened the curve! They do not play around with social distancing. We were… https://t.co/3Q5HkAywc2,Illinois
"COVID-19 update 
Home???
100-15 204th St, Queens, NY 11423
The landlord son yelled at through bathroom door and said dump the liquid coffee ????? The brother-in-law is a plumber upstairs????
HRA CityFHEPS 311NYC home… https://t.co/3Ps0qyg8Y8",New York
"COVID-19 update 
Home???
100-15 204th St, Queens, NY 11423
The landlord son yelled at through bathroom door and said dump the liquid coffee outside????? The brother-in-law is a plumber upstairs????
HRA CityFHEPS… https://t.co/jv6CwfOnay",New York
"No BBQ, No Parade, and No Fireworks... No problem, I’ll just see something I’ve never been to before. What a awesome place to visit, bearizona outside of Williams AZ! Can’t let “The Corona” won’t dictate my life!… https://t.co/Gel0D1fjtm",Arizona
"Brain-destroying amoebas are now attacking America's dumbest state, Florida (not sure what their usual excuse for being so brain-dead is then), as they continue to set new #COVID19 #Coronavirus #Infection records every day too!

 https://t.co/fmulHSEWZS #FloridaMan #StupidStates",District of Columbia
#stupidisstupiddoes #donaldtrump #trumpliespeopledie #trumpmemes #trump #maga #ridinwithbiden #biden2020 #coronavirus #darwin #charlesdarwin #trumpmeme @ The White House https://t.co/H0oEClaagT,District of Columbia
Presenter Article: Prominent Ham Operators Lead Major Covid-19 Pandemic Effort  https://t.co/AJa4SuUIqZ  #ham #hamr #amateurr #amateurradio,New York
This Fat Impairs Immune System and Increases Risk of COVID https://t.co/qRjRvkggmH https://t.co/TONtR4liSo,California
"Happy 4th, ""2020"" Everyone !!🔴⚪🔵💥🥳💫💞🌸 ❤🤍💙
#covid-19 #mymklife @ Ontario, California https://t.co/JuhUQuawFD",California
#stupidisasstupiddoes #trumpmeme #trumpmemes #donaldtrump #rona #blacklivesmatter #trump #maga #coronavirus #fourthofjuly #trumplies #trumpliespeopledie #mountrushmore #racism #racisminamerica #maha #mada @ The White… https://t.co/HYR11q1SYf,District of Columbia
"War zone status... 2.5 hours so far... #covid19 #4thofjuly equals #loud 🧨💥💫 @ Alameda, California https://t.co/5Gkvk1FQnA",California
Social Distancing While Watching Fireworks Across LA 🇺🇸🎇🎆🌴 @ Rocket Ship Park https://t.co/rAXOpN7psS,California
"Social Distancing While Watching Fireworks Across LA 🇺🇸🎇🎆🌴
📸: @Verus_Animus @ Rocket Ship Park https://t.co/gG2OVHIyDu",California
"Nothing is stopping us celebrating freedom on this 4th of July 2020. 
.
.
.
.
#4thofjuly2020 #independenceday #redwhiteblue #freedom #usa #covid19 #washyourhands #handsanitizer #family #love #peace #summer2020… https://t.co/E0HQTRVgKh",Wisconsin
"2020 Coronavirus House Arrest Day 111 - Happy Independence Day, America! If I didn't know any better I'd think I live in a war-torn country with all the non-stop explosions; protect your pets! I tried to keep my… https://t.co/cq7ePpylXv",California
"4th of July in the States, 100 days of Lockdown in SA  https://t.co/gDu6AilYVr",New York
"HAD A GREAT 4th  OF JULY  at home even though it’ was In LockDown due to the Pandemic,Thank you to vickiegurrrrl  for making the bomb and ever so tasty Seafood Boil! YOU DID THAT!… https://t.co/4NkPdyzUSJ",Florida
"#WEARELIVE

HAD A GREAT 4th  OF JULY  at home even though it’ was In LockDown due to the Pandemic,Thank you to vickiegurrrrl  for making the bomb and ever so tasty Seafood Boil! YOU DID THAT!… https://t.co/S0VzTbw6Sl",Florida
"#fireworks💥 Happy 4th of July. #independenceday #socialdistancing at #home @ Las Vegas, Nevada https://t.co/LMpPuR6CV5",Nevada
"What a wild world, a pandemic gets me off the water to travel the 4th of July Cowboy Christmas rodeo trail...1st time in almost 20 years!  I didn't make the whistle but there's another one tomorrow! @ Poteet, Texas https://t.co/hzJKpxCMKv",Texas
"REALITY  IS  HALLUCINATION 
#pandemicnyc 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#graffiti #monochrome #nyc #photography #monochromephotography #bwhdr #streetphotography #brickwall ##pandemic @ Brooklyn, New York https://t.co/UushejTxDM",New York
"It was a Fourth Of July celebration in Lock down due to the corona Virus Pandemic, and being under a Lockdown, but glad My mother and Brother James came over to celebrate. My gurl vickiegurrrrl made the only… https://t.co/88vFwCTjfT",Florida
"Pre #july4th moment 💜🕊🤍 #fullmoon #greatful for connection with friends with social distancing @Katharinaishere @RochelleBrodin , thank you for masks @elvislaskin , private beach @malibubeachinn , bikini @fashionnova… https://t.co/A2FqGASAsp",California
"OMG... Go to sleep!!! La Coronavirus is going to get you!  I swear.. if I go down there, I'm going to power water on their parade... @ The Chihuahua-Star Empire Terok Nor https://t.co/QBcWvphB72",Texas
Celeb Chef Michael Chiarello Wants Spousal Support Lowered Due to COVID-19 https://t.co/kpDZ9IABBp (vía TMZ),California
"I took some pics. My hood did it right tonight. 
~

#socialdistancing 
#4th #4thphoto #july4th #july4thpics #photographylovers #blackandwhitephotography #amateurphotography #myhood #atlanta #atllove #atlactors… https://t.co/VD45nmiQjL",Georgia
Calcio Storico's Crazy Violent Championship Tourney Postponed Over COVID https://t.co/FM6FMlpjLb (vía TMZ),California
"No fireworks shows going on due to lockdown so we're making I door holiday festive with #lightsaber battling, #CaptainAmerica &amp; #StarWars #DungeonsAndDragons @ Kyber Cave https://t.co/xPLu3ZfjLC",California
"No days off during this pandemic! Shout out to beaubasketball for adding CrossFit tires from @BaskervilleFit to your daily workouts! 🏋🏽‍♀️⛹🏾‍♂️🥇🏀
#quarantine #pandemic #baskervillefitness #crossfitathlete #basketball… https://t.co/k61sjZy3Dp",California
"Quarantine Quickies Day 76 - Passed Out

Saw a lot of folks out at the beach today--probably not quite like  this fellow, passed out upside down. But wow, you would never have gotten the idea we have a pandemic… https://t.co/QJecxFEkoB",Hawaii
In case you are waiting for the non contact Forehead Thermometer for your restaurant or office. FYI. They are available at kahalamall store. @jenniferlin620 #foreheadthermometer #covid19 #protaction #masks… https://t.co/GfniMIugnl,Hawaii
"More than 1,400 Georgia healthcare workers sign letter asking their racist shithole Republi'tard governor for more #Coronavirus restrictions...

 https://t.co/vu3No5EnSu #StupidState #StupidStates #RepublicansHateAmerica #COVID19 #Pandemic #CoronavirusSurge #PublicHealth",District of Columbia
"NC News: Hometown strong effort to help rural NC with COVID-19, economic recovery  https://t.co/svAYXC46Lb",North Carolina
"Now it’s time to burn off those chips, hot dogs, beer &amp; 4 months of COVID-19! #virtualpersonaltraining #outdoor1on1training #nutritionalguidance #results @ New York, New York https://t.co/bGWDEWlySl",New York
"The social distancing party hosted &amp; perfectly arranged by my student's lovely family was simply wonderful and genius!  We were like a couple who just wedded 😆  The food was amazing, thank you.… https://t.co/5XKUsfRlWX",California
Sat July 4 training before the covid-19 Margate 4th of July Parade. @ Firefighter Park https://t.co/TfocAsI43m,Florida
#risingsun #setingmoon #oikush #remember to #celebrate 🎉 your #freedom &amp; #practice #socialdistancing #atthesamedamntime by ordering your #illegal #narcotics #online  :  #getmoney #fuckthesystem #breakthelaw… https://t.co/d9WnZoTSfU,Iowa
"On day seven of #quarantine I made buffalo shrimp tacos with homemade pico de gallo with a pepper from our garden! #quarantinemenu2020 @ Sidneys Grove, Kannapolis https://t.co/VH2IIsmK7i",North Carolina
"Shithole Florida #Coronavirus: State shatters another record with nearly 11,500 new cases in a single day!

https://t.co/d3nHFh2OvI #StupidState #StupidStates #RepublicansHateAmerica #ReopeningIsMurder #COVID19 #Pandemic #CoronavirusSurge #PublicHealth",District of Columbia
