,Province_State,Confirmed
0,Alabama,20925
1,Alaska,562
3,Arizona,27678
4,Arkansas,9740
5,California,133816
6,Colorado,28169
7,Connecticut,44092
8,Delaware,9972
10,District of Columbia,9389
11,Florida,64904
12,Georgia,52497
15,Hawaii,676
16,Idaho,3189
17,Illinois,128415
18,Indiana,37623
19,Iowa,22007
20,Kansas,10544
21,Kentucky,11476
22,Louisiana,43050
23,Maine,2588
24,Maryland,58404
25,Massachusetts,103626
26,Michigan,64944
27,Minnesota,28224
28,Mississippi,17768
29,Missouri,15158
30,Montana,548
31,Nebraska,15786
32,Nevada,9816
33,New Hampshire,5079
34,New Jersey,164497
35,New Mexico,9062
36,New York,378799
37,North Carolina,36517
38,North Dakota,2880
40,Ohio,38837
41,Oklahoma,7205
42,Oregon,4922
43,Pennsylvania,80339
45,Rhode Island,15642
46,South Carolina,14800
47,South Dakota,5471
48,Tennessee,27005
49,Texas,76463
50,Utah,12322
51,Vermont,1075
53,Virginia,51251
54,Washington,24041
55,West Virginia,2161
56,Wisconsin,21038
57,Wyoming,960
