,Province_State,Confirmed
0,Alabama,12376
1,Alaska,400
3,Arizona,14576
4,Arkansas,4923
5,California,83752
6,Colorado,22482
7,Connecticut,38430
8,Delaware,8037
10,District of Columbia,7434
11,Florida,46944
12,Georgia,38855
15,Hawaii,641
16,Idaho,2455
17,Illinois,98030
18,Indiana,28705
19,Iowa,15296
20,Kansas,8353
21,Kentucky,8069
22,Louisiana,35038
23,Maine,1741
24,Maryland,41546
25,Massachusetts,87925
26,Michigan,52350
27,Minnesota,17029
28,Mississippi,11704
29,Missouri,11393
30,Montana,471
31,Nebraska,10854
32,Nevada,7096
33,New Hampshire,3721
34,New Jersey,149356
35,New Mexico,6192
36,New York,352845
37,North Carolina,19239
38,North Dakota,1994
40,Ohio,28952
41,Oklahoma,5489
42,Oregon,3726
43,Pennsylvania,67311
45,Rhode Island,12951
46,South Carolina,9056
47,South Dakota,4085
48,Tennessee,18412
49,Texas,50552
50,Utah,7518
51,Vermont,944
53,Virginia,32145
54,Washington,18811
55,West Virginia,1502
56,Wisconsin,12885
57,Wyoming,776
