,Province_State,Confirmed
0,Alabama,14986
1,Alaska,408
3,Arizona,16575
4,Arkansas,6029
5,California,96400
6,Colorado,24256
7,Connecticut,40873
8,Delaware,8965
10,District of Columbia,8225
11,Florida,51746
12,Georgia,43400
15,Hawaii,643
16,Idaho,2626
17,Illinois,112017
18,Indiana,31715
19,Iowa,17557
20,Kansas,9125
21,Kentucky,8571
22,Louisiana,37809
23,Maine,2074
24,Maryland,47152
25,Massachusetts,93271
26,Michigan,54881
27,Minnesota,21315
28,Mississippi,13458
29,Missouri,12476
30,Montana,479
31,Nebraska,12362
32,Nevada,7956
33,New Hampshire,4197
34,New Jersey,155092
35,New Mexico,7026
36,New York,362764
37,North Carolina,24057
38,North Dakota,2457
40,Ohio,32477
41,Oklahoma,6090
42,Oregon,3949
43,Pennsylvania,71925
45,Rhode Island,14065
46,South Carolina,10178
47,South Dakota,4586
48,Tennessee,20535
49,Texas,56409
50,Utah,8521
51,Vermont,962
53,Virginia,37727
54,Washington,20065
55,West Virginia,1774
56,Wisconsin,15584
57,Wyoming,843
