,Province_State,Confirmed
0,Alabama,29002
1,Alaska,720
3,Arizona,46910
4,Arkansas,14631
5,California,170862
6,Colorado,30172
7,Connecticut,45557
8,Delaware,10611
10,District of Columbia,9952
11,Florida,89748
12,Georgia,62009
15,Hawaii,789
16,Idaho,3871
17,Illinois,135470
18,Indiana,41746
19,Iowa,25274
20,Kansas,12021
21,Kentucky,13454
22,Louisiana,48515
23,Maine,2913
24,Maryland,63548
25,Massachusetts,106650
26,Michigan,67097
27,Minnesota,32031
28,Mississippi,20641
29,Missouri,17667
30,Montana,666
31,Nebraska,17588
32,Nevada,12524
33,New Hampshire,5486
34,New Jersey,168496
35,New Mexico,10260
36,New York,386556
37,North Carolina,49785
38,North Dakota,3226
40,Ohio,43731
41,Oklahoma,9707
42,Oregon,6572
43,Pennsylvania,85199
45,Rhode Island,16337
46,South Carolina,22608
47,South Dakota,6158
48,Tennessee,34017
49,Texas,105394
50,Utah,16425
51,Vermont,1144
53,Virginia,56793
54,Washington,27601
55,West Virginia,2468
56,Wisconsin,24154
57,Wyoming,1173
