,Province_State,Confirmed
0,Alabama,12086
1,Alaska,388
3,Arizona,14208
4,Arkansas,4813
5,California,81457
6,Colorado,22202
7,Connecticut,38116
8,Delaware,7869
10,District of Columbia,7270
11,Florida,46442
12,Georgia,38283
15,Hawaii,640
16,Idaho,2455
17,Illinois,96485
18,Indiana,28255
19,Iowa,14955
20,Kansas,8303
21,Kentucky,7935
22,Louisiana,34709
23,Maine,1713
24,Maryland,39762
25,Massachusetts,87052
26,Michigan,51915
27,Minnesota,16372
28,Mississippi,11432
29,Missouri,11242
30,Montana,470
31,Nebraska,10625
32,Nevada,7061
33,New Hampshire,3652
34,New Jersey,148240
35,New Mexico,6096
36,New York,351371
37,North Carolina,19207
38,North Dakota,1931
40,Ohio,28454
41,Oklahoma,5398
42,Oregon,3687
43,Pennsylvania,66669
45,Rhode Island,12795
46,South Carolina,8942
47,South Dakota,4027
48,Tennessee,18011
49,Texas,49177
50,Utah,7384
51,Vermont,940
53,Virginia,31140
54,Washington,18611
55,West Virginia,1502
56,Wisconsin,12687
57,Wyoming,766
