tweet,location
🧟‍♂️ Man! Y’all play too much!! 😩😂 I’m still going to watch it tho! 😂 ••• #TAG SUM1 THAT LOVE ZOMBIES!  🧟‍♂️ #corona #virus #zombies #horror #ron #covid19 #usa #sickpeople #film #pressplay #somebodycomelookatthis… https://t.co/5Fn3PfIKsD,New York
Spending quarantine time the same way I spend every day...except I’m never alone now. #princessblue #bluedognotabulldog #blueheelersofinstagram #blueheeler #heelersofinstagram #browneyedbluedog #covid #corona… https://t.co/3clUfvIr5K,Arizona
"Shetas custom Corona Virus masks get em before Corona gets you. @ Jersey City, New Jersey https://t.co/eooIsONnzs",New Jersey
"When you have to postpone your wedding to 2021 because of corona but looking so fly while doing it 😎 

That said: it was not an easy decision to make. @nikfranklehrer and I spent countless hours of watching the… https://t.co/QeqO8RwLTa",California
Opening day after since our Corona surfing ban. It felt so good to be back… https://t.co/QlP44hGWeA,California
"I CORONA I AINT SHIT PRESS PLAY...JOEY DIXON PRODUCTIONS! @ Paradise Hills, San Diego https://t.co/sbbimQ4hTK",California
"Some new music in the works!! Clouding my mind!! Coming soon.... #hiphop #BigLegion #cloudingmymind #rap #poetry #westcoast #coronacalifornia #california #southerncalifornia @ Corona, California https://t.co/GGB8nTphkM",California
"Corona has GOT ME OVER IT🗣 @ Philadelphia, Pennsylvania https://t.co/R43hUlf8Ja",Pennsylvania
"EPA Approved - Effective Against Contagious Viral &amp; Bacterial Pathogens Including: Human Corona Virus, Influenza,  H1N1, SARS, Adenovirus Type 4

How it works: The Defender uses Nano-Spear technology. Picture 15,000… https://t.co/FGII3yFT0b",Florida
Best part of waking up! #blacklistbjj #breakfastclub #socialdistancing #Corona @ Blacklist Martial Arts &amp; Fitness https://t.co/KA06oCIN6i,Louisiana
"#light. #smalljoys #isolation #corona #pleasure #color #quotidian #morniing @ New Rochelle, New York https://t.co/6nTzDrYZ0N",New York
Corona got me sippin ugh @ Moscato Land https://t.co/YZaay22NJo,New York
"@MYWHIMSICLE 4 life ! Day 2 of documenting no hair cut/ shape up ! 🖕🏾 #corona ! @ Philadelphia, Pennsylvania https://t.co/XcMU76RIgr",Pennsylvania
Corona NY Fri Apr 17th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
"Most folks only know half the story...
.
Of how the Corona Virus is effecting our economic markets -
.
Our real estate markets.
.
Visit our FB Page @CodeMarkFin to catch up on the videos you have missed about… https://t.co/CTRaAV7bLA",Texas
Keep moving forward and smiling. 😁 #pictureoftheday #fridayfeeling #designdistrict #miami #mood #tbt #corona #covid #covid19 #livmor #realtorsofinstagram #closingdealsinheels #ysl @ Miami Design District https://t.co/Qn0eEO8qol,Florida
"One of my friends recently had a medical scare with her husband.
.
On February 13th, her husband was admitted to West Virginia University Medical Center.  He had viral pneumonia from Corona Virus HKU1.( NOT… https://t.co/pmB5lWtPGj",Illinois
"Moms!! We got this! 💪🏻
Tag a mom
Comment with 💗 if you're a mom
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#corona #coronavirus #momsofig #covid19 #westpalmbeach #blogger #mompreneur #quarantine #lockdown #florida… https://t.co/Mc7j9YVW1m",Florida
"I don’t know who needs to hear this, but today is Friday. #corona #groundhogday
•
•
•
❤️Two ways to shop my look❤️
1. Download the https://t.co/vxGsXT1jt1 app (it’s FREE) and search for AFASHIONFIX
2. Click on the link in my… https://t.co/X5FTKy7wM7",Tennessee
"That moment you put on jeans instead of sweatpants and you're not sure if it'll fit....it did. I passed it. 

Happy Frisolation day. 

#covid19 #corona #ronisterin #gainingweight #livingontheedge @ Cooper City,… https://t.co/7XdzFazsaP",Florida
The Day #Corona Started! 😩😷 #Corona #Covid1 #Rona @ Alabama https://t.co/HcwgpnQjch,Alabama
"Napping lions on the road in South Africa during the quarantine. #corona @ Austin, Texas https://t.co/3X0TZOjVJR",Texas
Items found at a small grocery store. I am not telling you where is it. Though I did post the general vicinity. Shopping in challenging times. #corona #ccpvirus #spazhousenorthamericantour #maryhilldumplings… https://t.co/qfxmYwwLOu,
"When Corona says that beard season is over! Back to basic. #2020lockdown #corona2020 #healthcarelife #anesthesiatech #n95life @ Fort Worth, Texas https://t.co/4ZUFEaID7U",Texas
Have a truly blessed day all today and continue to exercise social distancing and stay home 🏠 stay and let’s continue to curb the spread of this nova corona virus 🦠 🙏🏿🙏🏿🙏🏿🙏🏿❤️❤️❤️❤️❤️❤️ @ Brownsville BKLYN https://t.co/jGbBr35Til,New York
Did Mother Nature catch the #corona or something?? Why she mad? #april #snowstorm #dumb #tgif #friday @ Sikorski-Largo https://t.co/eHeSxBvdHX,Illinois
Today’s beautiful #fef comes to you with a side of bad news.  #corona #covid has caused a second rescheduling of the #broncosupercelebration 😭 We’ll have to wait until October 9-13 to see so many of our favorite… https://t.co/NaYMkaxQOS,Tennessee
#gameon #gethealthy #veggies #fruits #bingochallenge #active #corona #covid get the printout… https://t.co/WeO0aQZtn5,Colorado
What It’s Like Cleaning Hospitals During Corona  https://t.co/HlVIK2fXBf,New York
"New show is coming check out last weeks episode.  Help the podcast out share with a friend, subscribe, give us a review.    

#podcast #podcasts   #comedy  #humor  #newshow #pandemic #corona @ Lake Minnetonka https://t.co/X4J7nTFvbh",Minnesota
Welcome to the ARC Tiki Testing Lounge! 🌴😷🌴 #tentcrew #corona #covid #nurselife #essential #healthheros @ Austin Regional Clinic: ARC https://t.co/6xLqgWQetp,Texas
"#FlashbackFriday 4/17/2012 b.c. (Before Corona) Just received the most humbling book ever @MusicChanging was chosen amongst
 hundreds of organizations that benefit from the #ArtInstitutes #Nationally
 and we put the… https://t.co/z9w1VK1UHQ",California
How to get groceries during corona virus in NYC ⚗️⚗️⚗️🦠🦠👀👀👀😭😭😭🛁🛁🛁🛁🛁🛁😈😈😈😈😈😢😢😢💎💎💎 🛁 j_soul26  #hahapaper  #paperboyprince  #nycstreets #brooklynny #coronamemes #bubbleboy #worldstar #subwaycreatures #paperboy @… https://t.co/s45YpipLeD,New York
Corona CA Fri Apr 17th AM Forecast: TODAY Chance Of Showers Hi 65 TONIGHT Chance Of Showers Lo 48,California
"We have nothing to do so we’ve been boxing and wrestling everyday. Took a break to take a pic lol. #fatherhood #quarantine #corona #blancoboys jordanelliswhite @ Glen Allen, Virginia https://t.co/d4pliKn4Hi",Virginia
"Fun work shirt Friday! @ Corona, California https://t.co/7YGzgi8T7u",California
#NewYorkers is this #FACTS or #NAH?? ••• #whorunsNYC? 👀👀 #nyc #rona #corona #socialdistancing #stayhome #quarantine #stimuluscheck #annoyingmemes @ NYC https://t.co/9ByouUvRZo,New York
"LIMITED EDITION - VERY RARE 
#AGANORSA SIGNATURE SELECTION 4PACK w/ $10 JERRY'S BUCK REWARD 
6x44 Corona Gorda 4-PACK 
These Rare Beauties were a Limited Edition Release in January of 2019 - Only 800 Boxes Made!… https://t.co/9IxhPGkeH1",Florida
We don’t say throwback no more. We say B.C. (Before corona) this was 2017 or 3 B.C.   #bc #SummerVibes ☀️ #JustLikeFamily 👥 #aRealOne ☝🏾 #2017 🗓 @ New Jersey https://t.co/0xXNx5HCm4,New Jersey
Sunrise RSR with abbey_vince  Gorgeous morning and challenging swells.  She was nice and slowed down for her old man 😳   #gobigorgohome @ Corona del Mar State Beach https://t.co/HcN6H6vrsy,California
"Shout out to @ripndip for coming through with the fire. See you on the front line as soon as possible! 

#smilemore #nermal #ripndip #flex #corona #pandemic #stayathome @ Marietta, Georgia https://t.co/bd5Mui7phQ",Georgia
"Dear Mr Corona, We’ll give you your lil props...but remember...You are “new to this” but not “true to this!!!!  We’ve been “LOCKING DOWN CITIES” in the SPIRIT OF UNITY for years!!!!  AUGUST IS COMING!!!… https://t.co/5g8Wbdxytf",Tennessee
"Dear Mr Corona, We’ll give you your lil props...but remember...You are “new to this” but not “true to this!!!!  We’ve been “LOCKING DOWN CITIES” in the SPIRIT OF UNITY for years!!!!  AUGUST IS COMING!!!… https://t.co/5g8WbdP9RP",Tennessee
"Drinking and driving the walker #CoronaBeer #BabyDrinking #DWI @ Corona, New York https://t.co/Wi6wZlqKLI",New York
"Data includes 126 new positive coronavirus (COVID-19) cases, bringing the District’s overall positive case total to 2,476 and five additional COVID-19 related deaths. [PR] Coronavirus Data for April 16, 2020  https://t.co/5bEUsT2TdS",New York
"Sure feels like it. #coronavid19 #corona #coronavairus #corovid19 #backtowork 

This virus may become seasonal. Good luck y'all. @ Cleveland, Ohio https://t.co/jp50sY04XE",Ohio
"#quarantineworkout #coronadelmar #newportbeach @ Goldenrod Ave, Corona Del Mar https://t.co/PjfwD3SlNc",California
