,Province_State,Confirmed
0,Alabama,6026
1,Alaska,339
3,Arizona,6045
4,Arkansas,2810
5,California,41355
6,Colorado,12256
7,Connecticut,23936
8,Delaware,3442
10,District of Columbia,3528
11,Florida,30533
12,Georgia,22491
15,Hawaii,601
16,Idaho,1870
17,Illinois,39658
18,Indiana,13681
19,Iowa,4445
20,Kansas,2959
21,Kentucky,3779
22,Louisiana,26140
23,Maine,965
24,Maryland,16616
25,Massachusetts,50969
26,Michigan,36641
27,Minnesota,3185
28,Mississippi,5434
29,Missouri,6788
30,Montana,444
31,Nebraska,2424
32,Nevada,4398
33,New Hampshire,1720
34,New Jersey,102196
35,New Mexico,2521
36,New York,271590
37,North Carolina,8290
38,North Dakota,748
40,Ohio,15169
41,Oklahoma,3121
42,Oregon,2177
43,Pennsylvania,40208
45,Rhode Island,6699
46,South Carolina,5070
47,South Dakota,2040
48,Tennessee,8728
49,Texas,23642
50,Utah,3782
51,Vermont,827
53,Virginia,11594
54,Washington,12977
55,West Virginia,1010
56,Wisconsin,5356
57,Wyoming,473
