,Province_State,Confirmed
0,Alabama,7888
1,Alaska,368
3,Arizona,8640
4,Arkansas,3437
5,California,54903
6,Colorado,16635
7,Connecticut,29287
8,Delaware,5208
10,District of Columbia,5016
11,Florida,36078
12,Georgia,28665
15,Hawaii,620
16,Idaho,2061
17,Illinois,61499
18,Indiana,19933
19,Iowa,9175
20,Kansas,5156
21,Kentucky,5130
22,Louisiana,29340
23,Maine,1185
24,Maryland,25462
25,Massachusetts,68087
26,Michigan,43801
27,Minnesota,6663
28,Mississippi,7550
29,Missouri,8618
30,Montana,455
31,Nebraska,5661
32,Nevada,5472
33,New Hampshire,2518
34,New Jersey,126744
35,New Mexico,3850
36,New York,316415
37,North Carolina,11770
38,North Dakota,1191
40,Ohio,19914
41,Oklahoma,3972
42,Oregon,2680
43,Pennsylvania,51225
45,Rhode Island,9477
46,South Carolina,6626
47,South Dakota,2631
48,Tennessee,13177
49,Texas,31998
50,Utah,5175
51,Vermont,897
53,Virginia,18672
54,Washington,15185
55,West Virginia,1195
56,Wisconsin,7964
57,Wyoming,586
