tweet,sentiment
🧟‍♂️ Man! Y’all play too much!! 😩😂 I’m still going to watch it tho! 😂 ••• #TAG SUM1 THAT LOVE ZOMBIES!  🧟‍♂️ #corona #virus #zombies #horror #ron #covid19 #usa #sickpeople #film #pressplay #somebodycomelookatthis… https://t.co/5Fn3PfIKsD,0.5078125
Spending quarantine time the same way I spend every day...except I’m never alone now. #princessblue #bluedognotabulldog #blueheelersofinstagram #blueheeler #heelersofinstagram #browneyedbluedog #covid #corona… https://t.co/3clUfvIr5K,0.0
"Shetas custom Corona Virus masks get em before Corona gets you. @ Jersey City, New Jersey https://t.co/eooIsONnzs",0.13636363636363635
"When you have to postpone your wedding to 2021 because of corona but looking so fly while doing it 😎 

That said: it was not an easy decision to make. @nikfranklehrer and I spent countless hours of watching the… https://t.co/QeqO8RwLTa",0.2833333333333333
Opening day after since our Corona surfing ban. It felt so good to be back… https://t.co/QlP44hGWeA,0.35
"I CORONA I AINT SHIT PRESS PLAY...JOEY DIXON PRODUCTIONS! @ Paradise Hills, San Diego https://t.co/sbbimQ4hTK",-0.25
"Some new music in the works!! Clouding my mind!! Coming soon.... #hiphop #BigLegion #cloudingmymind #rap #poetry #westcoast #coronacalifornia #california #southerncalifornia @ Corona, California https://t.co/GGB8nTphkM",0.33291903409090906
"Corona has GOT ME OVER IT🗣 @ Philadelphia, Pennsylvania https://t.co/R43hUlf8Ja",0.0
"EPA Approved - Effective Against Contagious Viral &amp; Bacterial Pathogens Including: Human Corona Virus, Influenza,  H1N1, SARS, Adenovirus Type 4

How it works: The Defender uses Nano-Spear technology. Picture 15,000… https://t.co/FGII3yFT0b",0.3
Best part of waking up! #blacklistbjj #breakfastclub #socialdistancing #Corona @ Blacklist Martial Arts &amp; Fitness https://t.co/KA06oCIN6i,0.5
"#light. #smalljoys #isolation #corona #pleasure #color #quotidian #morniing @ New Rochelle, New York https://t.co/6nTzDrYZ0N",0.22424242424242424
Corona got me sippin ugh @ Moscato Land https://t.co/YZaay22NJo,0.0
