tweet,location
Xmas in April covid19 edition @santoboulder #burrito #xmas #smotheredburrito #greenchile #redchile #505inthe303 #nm #nmtrue #og #curbsidepickup #takeout #delivery @chownow @ Santo Boulder https://t.co/q2fO9zDv6z,Colorado
"@QUORA a sample of #Homework Topics Q&amp;A -- ask experts

#schools #collegestudents #university #students #HighSchoolStudents 

#COVID19  #CORONAVIRUS #HomeSchool #HomeSchooling @ Mountain View, California https://t.co/AzyzjM3lzj",California
"Another one in the books today for an AMAZING client! Appreciate all of the parties that were involved in this one, went EXTREMELY smooth, even during this difficult time with the Covid-19 virus. Was able to show… https://t.co/UZWFvk2LF1",Arkansas
"Happy Birthday Mom! 😇 You wouldn’t believe what’s happening down here! #bestmom #bestfriend #happybirthday #1son #covid19 #newyorkstrong #wereallinthistogether #staysafe #friends @ Sands Point, New York https://t.co/kQkZGBtzaG",New York
"My Corona Cutie @ Cary, North Carolina https://t.co/W5gcn2gHjV",North Carolina
Strange #statue i don't know wtf this is 🤣🤣🤣🤣🤣 #stayhome #covid19 @ Ansan Park https://t.co/Q48SgBKq0S,Nevada
"I had known that coronavirus was not affect me on training for @thesfmarathon. Today, this event will postpone to November 15 after @wmmajors in Nov 1. Since March 13th, the very serious coronavirus outbreak and… https://t.co/EhTEEHHIj2",California
Isolation dinners continue with Isabel’s roast chicken. I hope she approves.  #Dinner #Chicken #Isolation #IsolationDinner #COVID-19 #Quarantine #QuarantineDinner #Food #FoodPorn #DinnerPorn #MakingMemories2020… https://t.co/1l9wVTbQDf,New York
#LEGO 10265 Creator Expert #FordMustang Bag 1 (LEGO Expert = CHALLENGING) Perfect for #COVID19 Stay at Home @ Fairchance Road https://t.co/9iUv0ZDVTM,West Virginia
"COVID-19 update 
This MTA BUS didn't pick me up at this stop again same driver  couldn't get the bus number Q2 @ 179th St Subway Station (F Line) https://t.co/wHHrXIv56I",New York
"When the #Cornerman confronts #COVID19 #Pneumonia #coronavirus #cornermanmotivation #cornerman #juanjeremy #luchalibre #prowrestling #wwe #mondaynightraw #wweraw #wwerawlive #nxt #sneakattack @ Brownsville, Brooklyn https://t.co/YpTfejqdVS",New York
"The SEXIEST Covid-19 news I've heard so far. Hey, at least she knows where she's CUMMING from. 😂 @ Los Angeles, California https://t.co/ZJnTEHkD3D",California
"""Hey guys it's Chad from That One Brewery isn't this Coronavirus thing crazy ikr so anyway remember that super limited 174 bottle release we did last Christmas of Ho Ho Holy Shit That's A Lot Of Ho Hos that had… https://t.co/ASnjjnfpqz",California
"https://t.co/q1bIRBjDj8 From Texas Standard : The annual SXSW festivals and conferences were among the first major economic casualties of the coronavirus in Texas. But now, fans https://t.co/UPzlBlKsRk #atx #austin #all512",Texas
"Reversible Kinga Face Masks are here in a Limited Edition. Picture shows the 2 looks of one mask...
#mimizuricollections
#Mimizuridesigns 
#kitenge
#facemasks
##covid19 @ Los Angeles, California https://t.co/y4NDUI4Z0m",California
What I did today via introverts_are_awesome Haha #notreally I did do some #Yoga &amp; #Meditation but yeah .....this is starting to get to me #Day42 of #quarantine #saferathome #rona #covid_19😷 #coronavirus… https://t.co/9mFX3wZv31,California
"Mors Thriumphans by Leonard Bramer, 17th century  #artistspotlight🔦 #pandemic2020 #relative #deathstroke #dayofthedead #covid19 #skeleton @ Dogpatch Collective https://t.co/E7gwIvy2y0",California
Check out the latest #episode on #SI #Counseling #podcast (aka SIC Podcast) that addresses #FAQ about #covid19 and #college and admissions -  listen to #questions with #answers because we need them now since… https://t.co/V2ZLGd0tIx,California
"#repost hellasexxy_ent
・・・
🚨 #HellaNews - 📍Detroit - #DeborahGatewood a 64 year old phlebotomist who worked at #Beaumont Hospital in Farmington Hills for over 3 decades  passed away due to COVID-19. Being on the… https://t.co/007iDJTCMi",Florida
"“What’d you do during Quarantine2020 Grandpa?”

“I smoked weed, slang sax and folded proteins.”

“Fucking legend..”
#foldingathome #gamersunite #covid19 
(Folding@home is a project where PC power users can dedicate… https://t.co/tNo9hQgp7E",Illinois
"Ready to go shopping, I never thought I would need to cover my face to buy food #coronavirus @ Moreno Valley, California https://t.co/YZKxffgQrO",California
Before the days over jus wanna wish my beautiful wife a happy #covid19 birthday.  #loveu @ Hella Deep East Oakland https://t.co/NpdIdSH2wL,California
"@gregvaughn23 provided 200 meals to #MetroFire today as a thank you for our continued service to #Sacramento during the #COVID19 pandemic.  

A huge thank you is in order to @gregvaughn23 and his team including… https://t.co/b1xK1ptsBR",California
Here everyone he found the cure for your #covid19 #coronavirus @realdonaldtrump #donaldtrump you sir are #AMoron #Moron I feel so sorry for your #incompetence #incompetent. #idiot #memes #funny #stupid #meme #idiots… https://t.co/NGyMWtvcAq,Texas
"@gregvaughn23 provided 200 meals to #MetroFire today as a thank you for our continued service to #Sacramento during the #COVID19 pandemic. 
A huge thank you is in order to @gregvaughn23 and his team including… https://t.co/tnx5DlgJhN",California
WHO Director-General’s opening remarks at the media briefing on COVID-19 – 27 April 2020 https://t.co/aAGtgibM3q,Oregon
This Saturday and Sunday on https://t.co/TMMckdvcif 3-5pm I will be spinning live to raise money for the covid 19 victims in the Caribbean islands...tune in...@sawone_radio #dominicanrepublic #haiti #jamaica #carribean… https://t.co/KRFSWeW7cW,Georgia
"We’re all in this together. But six feet apart, of course.
.
.
.
.
.
#sfgate #bernalheights #sanfrancisco #quarantine #covid19 #coronavirus #urbanphotography #photography #nikon #nikond3100 #nikonphotography… https://t.co/NnThh4kgKi",California
Quarantine Cooking At Home: Homemade Aguachiles • #aguachile #aguachiles #homemade #quarantinecooking #forkandvalise #foodandtravel #covid19 #quarantinelife #shrimp #camarones #avocado #cucumber #stayhealthy… https://t.co/DgIodVPrcj,California
