tweet,sentiment
"Stay Alive (Cover) part 3

#corona #stayalive #quarantine #covid19 #soul #guitar #coversong #heal #stayhome #stayathome #pain #donaldtrump #black #toronto #america #italy #china #newyork #california @ Saint Paul,… https://t.co/gXr7TgxeQy",-0.033333333333333326
"The family of wild #geese by @pizzeriainferno may have a shot to live longer during #covid19 due to fewer cars on the road 

#maryland #nature #earth #coronavirus #flattenthecurve #spring #wildlife #animal… https://t.co/H8A5QAAKOo",0.03712121212121212
Donald Trump totally mismanaged the Covid-19 Pandemic. He called himself a Wartime President an then ran from the responsibility of protecting American lives. All talk and no results... Election 2020 his time is up.… https://t.co/pKp6nsrHiE,0.0
Some wise man once said it is in the midst of tragedy that our best comes through. I think this applies to karaoke. The best karaoke can only when Covid keeps us home #covid19… https://t.co/WAnrcQYQ26,0.390625
"I was kinda #cute back than 😏😏
Im soooooo gonna #looseweight after this #covid19 shit... I now looked like #sid from #iceage 💀💀💀 
#fml #hustling now... look like those fat business man lookin ass.. #ready to take yo… https://t.co/KP4bHkfRTV",0.05
"Some more shots from Gothenburg, Sweden 🇸🇪 #throwback #travel #wanderlust #europe #europetravel #gothenburg #sweden #lockdown #covid19 @ Gothenburg, Sweden https://t.co/9pLXzUg8ny",0.125
"Finally unwinding from our crazy busy @arizonanorml monthly meeting/Maricopa County Prosecuting Attorney candidate forum/#cincodemayo/#tacotuesday.
Don't worry, I don't have a case of Corona, just a 6-pack @ So-Hi https://t.co/5uO0f2sDMV",0.5
"No to #corona. Yes to mango jalapeño #margarita for #cincodemayo and #tacotuesday! If the Mexican army could defeat Napoleon on this day, then we too can beat #COVID19 with #stayathome… https://t.co/jysCw9VlLh",0.4
Be with someone who knows exactly what they have when they have you. ✨🤍#quarantinelife #socialdistancing #coronavirus #spongebob #patrick 👉🏽👈🏽🙂 @ Texas https://t.co/WnZ3s7eoc2,0.125
"Taking the #tokyoghoul out for a spin!
——
#anime #covid19  #masks @ Washington D.C. https://t.co/IG3ABNMIWX",0.42857142857142855
"Wear a mask. #facemask #mask #covid #covid19 #coronavirus @ West Hollywood, California https://t.co/FIF2gLSccn",0.0
"#covid19 Keep your car interiors clean and germ-free TODAY! #omegaautodetailing @ Fort Lauderdale, Florida https://t.co/cs4hH4h20Y",0.3
"Late night thought 💭 FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist #thoughts #atlantatattooartist #atlantanails #atlantafalcons… https://t.co/dhWJUkUNgq",0.3
"#MothersDay #QuitaPenas #Clutch #CrossBody #Earring 

Clutch $29.99 
Earrings $16.99
Hair Accessories $9.99

We Local Drop Off for San Antonio and surrounding areas and Ship USPS Priority 

#Covid19 #CoronaVirus… https://t.co/c94g1LFOgz",0.4142857142857143
"Late night vibes!! FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist #atlantatattooartist #atlantanails #atlantafalcons #atlantaphotographer… https://t.co/C9ygVwoOyW",0.0
"margot (niece) helped uncover my home gym room...too bad the Covid-19 rules don’t allow me to use it 🤞, anyway, here’s a pretty picture of tonight’s moon to distract you from thinking about what I just wrote 😂 @ Hale… https://t.co/sw07lBbHHN",0.0
#DonaldTrump #StephenColbert #TheLateShowWithStephenColbert 'Transmission Accomplished': Stephen Colbert blasts Trump's plan to wind down coronavirus task force https://t.co/S4MxCSsTro https://t.co/nzMIy0tkPx,-0.22499999999999992
"Glow in the dark waves! #Bioluminescence #lightupthenight #glowinthedark #seaglow #abstractart #coronadelmar #wave #beachnight #pastelpainting #artoftheday #dailypainting #sennelierpastels @ Corona del Mar, California https://t.co/v4gF6rh63B",0.2875
"Here is your 5/5/20 daily COVID-19 update from the County of Ventura:
18 new cases
595 total cases
416 recovered cases
22 hospitalized
11 in the ICU
160 under quarantine
19 deaths
11,854 people tested
 
It's National… https://t.co/ArfwSjzGbn",-0.0625
"“If I get Corona, I get Corona” Check out @Quichenight on the QUARANTUNES comp on #BurgerRecords' bandcamp featuring 161 songs recorded by 161 bands during and about these crazy times!!! We're covering all the BC… https://t.co/qh3GLXs3oH",0.125
The world is shaking. We feel it deep in the rivers of our lives. We all share the same coronavirus story. Everyone owns a piece. A world on pause. Our days on hold. But we keep on cooking and bouncing in the… https://t.co/FNbTvAmYwG,0.075
This should be considered an #essential #item for #parents dealing with extended #schoolclosure due to #covid19  #gotosleep #sos #parentingtips #calgontakemeaway adammansbach @celestebarber_ @realdonaldtrump @ Santa… https://t.co/8jlrxayNRf,0.0
