tweet,sentiment
"Happy 4th of July! Stay Safe and Covid free.
#socialdistance  and use masks if necessary.
See you when ever it's over . #denton2night 
#Dentonnightlife #FrystNightlife #collegenightlife @ Little Elm, Texas https://t.co/h18WPyJFsN",0.3425
"Like a Covid-year-bad-Oprah : 

Siggi gets a broken arm !
Caty gets a broken arm !
Everybody gets.....

Just those two.
A visiting  Polaris-buggy driver misjudged the terrain , her speed , and well, physics.

Winni… https://t.co/t9ScHoYhOR",-0.5
Drinking a Bourbon County Brand Mon Chéri Stout (2019) by @GooseIsland @ Offhaus Summer of COVID Brew Ha Ha — https://t.co/DETyBPFvyp,0.2
Happy #4thofJuly #COVID19 style! @ Coney Island https://t.co/hUW0UWQJCo,0.0
"#socialdistancing is no problem on the #lake!
#happy4thofjuly #4thofjuly #kyaking 🚣🏻‍♂️ #smithmountainlake @ Smith Mountain Lake, Virginia https://t.co/5RNiIF5CGg",-0.4
"7-4-2020.. going on 4 months of this covid nonsense, but we are still making the best of it.. me and my mini #kacee #Yadi #my girls  #quarantinelife #isitoveryet @ Hayward, California https://t.co/ibFBXHcO70",0.0
"I’m not entirely made out of money but I wish to help any way I can! I’m sitting on a lot of music and since realistically there’s no sign of this country grasping COVID’s extent, I will be releasing something weekly… https://t.co/qfzVXVxD2j",0.2
"Night and Day. Our yard is beautiful!
Perfect for a #microwedding #ceremony ❤

#stanmansion #microwedding #wedding #socialdistancing #celebrate #allweneedislove #elopement #bridetobe #groomtobe #bride #groom… https://t.co/uJM5IGP62k",0.0
"Super congratulations to my love @beautynbosses 🙌
-
I came home one day from work and Lucia was so excited to tell me that she decided to start working with this company that allows her to have her own virtual… https://t.co/fcDJKs8rzu",0.6833333333333332
Ok... This is getting a little crazy. I didn't write the law but I agree with the guy we elected. Mask up or we MAY have to lockdown again... Since caring about the safety of others isn't doing it for you @ Quail… https://t.co/IjqZBwpu7t,0.4520833333333333
"Very lucky.  On a boat.  Social distancing fireworks. @ Manitowish Waters, Wisconsin https://t.co/DVlfPc1Dzr",-0.09583333333333333
"No Sit, Clem’s #socialdistancing #socialdistancingdrinking #clemsbrooklyn #clems #clemsnumber1forever #clemsnumber1 #williamsburgbrooklynnyc #williamsburgbrooklyn #williamsburg #brooklynnyc #brooklyn #nyc #nofilter… https://t.co/kuY94b4WHP",0.2333333333333333
"Day at the beach, pandemic style. 
#Alkibeach #seattle #seattlewa #Alki #covid19 #pandemic #pudgetsound #daydream #summervibe #futurevlog @ Alki Beach Park https://t.co/2BVvjJs63Z",0.0
"Incredible #moon tonight over #hamlinlake for #covid19 #quarantine #fireworks #sparklers #boatlife #puremichigan #pureludington @ Hamlin Lake, Michigan https://t.co/gbMAE0O8L0",0.1875
"Missing porch time with @mdub71 because it is too loud and smoky, so I am watching RAMY on Hulu and reading ""How to Be an Antiracist"" by Ibram X Kendi. #socialdistancing #covid_19 #blacklivesmatter @ Lincoln, Nebraska https://t.co/5YXAuSnj4D",0.2
"Beautiful sunset and moonrise on our #daily walk this evening, with gorgeous flowers in between! #flattenthecurve #itsbetteroutside #motherdaughtertime @ Helen's Park https://t.co/WMsqC0rq39",-0.05
"Independence Day was Lit! 🔥Every neighborhood had a million fireworks...never seen it like this before. All that pent up CoVid energy...ppl had to come and show out! @ Brooklyn, New York https://t.co/LzP7hn8IG0",0.5750000000000001
"COVID-19 restrictions, concerns linger as NJ preps for 4th of July https://t.co/r4kHqJtHWH https://t.co/HROR0bNZFZ",0.13636363636363635
"Hope you are all enjoying time with friends, family near and far! God Bless from ours to yours. See you next week!

Stay Positive and Safe!
Wash Hands, Hand Sanitizer, Face Masks &amp; Social Distancing.… https://t.co/dxwH6cw5Tj",0.0
"Flowers, Lefrak City #flowers #lefrakcity #coronaqueensnyc #coronaqueens #corona #queens #nyc #nofilter #unedited #canon77d #canonphotography #canonphotographer #24mm70mmf4 @ Lefrak City Singapore Building https://t.co/pa4qrFEODW",0.2300865800865801
"COVID-19 update @ Queens, New York https://t.co/clhsfi87ns",0.20208333333333334
"Dueling smokers and sides with our neighbors was a success! The pandemic has taken many things away but it has given us other things to appreciate just as much, such a getting to know our neighbors better 😊. (Not… https://t.co/yi59xU5BCw",-0.2
"Happy 4th of July. Wearing masks and social distancing @ Irvine, California https://t.co/EEdaLz8wHc",0.575
twistcreative design for outdoor pillows. 😍🇺🇸👍❤️ #covid19 #socialdistancing #campingatmohican @ Mohican State Park https://t.co/LT6jv2jImi,0.4166666666666667
When Someone trying to Book #dj #alexanderjokinsky #2020 During Pandemic? @ Las Vegas Strip https://t.co/Hrk1OX7kly,0.0
Happy Fourth of July 2020 Fireworks from the Empire State Building during a full buck moon #macysfireworks #covid times #empirestatebuidling #nyc #fullbuckmoon #weehawken #njnails #magical… https://t.co/oOIrRIxqh8,0.0
Happy Fourth of July 2020 Fireworks from the Empire State Building during a full buck moon #macysfireworks #covid times #empirestatebuidling #nyc #fullbuckmoon #weehawken #njnails #magical… https://t.co/Vn0W3xPfhK,0.4125
