,Province_State,Confirmed
0,Alabama,4345
1,Alaska,300
3,Arizona,4237
4,Arkansas,1620
5,California,27677
6,Colorado,8286
7,Connecticut,15884
8,Delaware,2070
10,District of Columbia,2350
11,Florida,23343
12,Georgia,15669
15,Hawaii,530
16,Idaho,1587
17,Illinois,25734
18,Indiana,9542
19,Iowa,2141
20,Kansas,1615
21,Kentucky,2435
22,Louisiana,22532
23,Maine,796
24,Maryland,10784
25,Massachusetts,32181
26,Michigan,28809
27,Minnesota,1809
28,Mississippi,3624
29,Missouri,5174
30,Montana,415
31,Nebraska,952
32,Nevada,3214
33,New Hampshire,1139
34,New Jersey,75317
35,New Mexico,1484
36,New York,223691
37,North Carolina,5639
38,North Dakota,393
40,Ohio,8414
41,Oklahoma,2357
42,Oregon,1736
43,Pennsylvania,28258
45,Rhode Island,3529
46,South Carolina,3931
47,South Dakota,1311
48,Tennessee,6375
49,Texas,16876
50,Utah,2683
51,Vermont,774
53,Virginia,6889
54,Washington,11057
55,West Virginia,728
56,Wisconsin,3875
57,Wyoming,296
