,Province_State,Confirmed
0,Alabama,5317
1,Alaska,329
3,Arizona,5256
4,Arkansas,1990
5,California,35465
6,Colorado,10473
7,Connecticut,20360
8,Delaware,2931
10,District of Columbia,3098
11,Florida,27869
12,Georgia,19881
15,Hawaii,586
16,Idaho,1736
17,Illinois,33059
18,Indiana,12097
19,Iowa,3641
20,Kansas,2164
21,Kentucky,3204
22,Louisiana,24854
23,Maine,888
24,Maryland,14193
25,Massachusetts,41199
26,Michigan,32667
27,Minnesota,2567
28,Mississippi,4716
29,Missouri,6066
30,Montana,437
31,Nebraska,1685
32,Nevada,3937
33,New Hampshire,1490
34,New Jersey,92387
35,New Mexico,1971
36,New York,258361
37,North Carolina,7134
38,North Dakota,644
40,Ohio,13725
41,Oklahoma,2807
42,Oregon,2004
43,Pennsylvania,35249
45,Rhode Island,5500
46,South Carolina,4439
47,South Dakota,1755
48,Tennessee,7394
49,Texas,20574
50,Utah,3297
51,Vermont,818
53,Virginia,9630
54,Washington,12392
55,West Virginia,908
56,Wisconsin,4625
57,Wyoming,443
