tweet,location
"Stay Alive (Cover) part 3

#corona #stayalive #quarantine #covid19 #soul #guitar #coversong #heal #stayhome #stayathome #pain #donaldtrump #black #toronto #america #italy #china #newyork #california @ Saint Paul,… https://t.co/gXr7TgxeQy",Minnesota
"The family of wild #geese by @pizzeriainferno may have a shot to live longer during #covid19 due to fewer cars on the road 

#maryland #nature #earth #coronavirus #flattenthecurve #spring #wildlife #animal… https://t.co/H8A5QAAKOo",Maryland
Donald Trump totally mismanaged the Covid-19 Pandemic. He called himself a Wartime President an then ran from the responsibility of protecting American lives. All talk and no results... Election 2020 his time is up.… https://t.co/pKp6nsrHiE,District of Columbia
Some wise man once said it is in the midst of tragedy that our best comes through. I think this applies to karaoke. The best karaoke can only when Covid keeps us home #covid19… https://t.co/WAnrcQYQ26,Massachusetts
"I was kinda #cute back than 😏😏
Im soooooo gonna #looseweight after this #covid19 shit... I now looked like #sid from #iceage 💀💀💀 
#fml #hustling now... look like those fat business man lookin ass.. #ready to take yo… https://t.co/KP4bHkfRTV",Utah
"Some more shots from Gothenburg, Sweden 🇸🇪 #throwback #travel #wanderlust #europe #europetravel #gothenburg #sweden #lockdown #covid19 @ Gothenburg, Sweden https://t.co/9pLXzUg8ny",Pennsylvania
"Finally unwinding from our crazy busy @arizonanorml monthly meeting/Maricopa County Prosecuting Attorney candidate forum/#cincodemayo/#tacotuesday.
Don't worry, I don't have a case of Corona, just a 6-pack @ So-Hi https://t.co/5uO0f2sDMV",Arizona
"No to #corona. Yes to mango jalapeño #margarita for #cincodemayo and #tacotuesday! If the Mexican army could defeat Napoleon on this day, then we too can beat #COVID19 with #stayathome… https://t.co/jysCw9VlLh",Texas
Be with someone who knows exactly what they have when they have you. ✨🤍#quarantinelife #socialdistancing #coronavirus #spongebob #patrick 👉🏽👈🏽🙂 @ Texas https://t.co/WnZ3s7eoc2,Texas
"Taking the #tokyoghoul out for a spin!
——
#anime #covid19  #masks @ Washington D.C. https://t.co/IG3ABNMIWX",District of Columbia
"Wear a mask. #facemask #mask #covid #covid19 #coronavirus @ West Hollywood, California https://t.co/FIF2gLSccn",California
"#covid19 Keep your car interiors clean and germ-free TODAY! #omegaautodetailing @ Fort Lauderdale, Florida https://t.co/cs4hH4h20Y",Florida
"Late night thought 💭 FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist #thoughts #atlantatattooartist #atlantanails #atlantafalcons… https://t.co/dhWJUkUNgq",Georgia
"#MothersDay #QuitaPenas #Clutch #CrossBody #Earring 

Clutch $29.99 
Earrings $16.99
Hair Accessories $9.99

We Local Drop Off for San Antonio and surrounding areas and Ship USPS Priority 

#Covid19 #CoronaVirus… https://t.co/c94g1LFOgz",Texas
"Late night vibes!! FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist #atlantatattooartist #atlantanails #atlantafalcons #atlantaphotographer… https://t.co/C9ygVwoOyW",Georgia
"margot (niece) helped uncover my home gym room...too bad the Covid-19 rules don’t allow me to use it 🤞, anyway, here’s a pretty picture of tonight’s moon to distract you from thinking about what I just wrote 😂 @ Hale… https://t.co/sw07lBbHHN",Hawaii
#DonaldTrump #StephenColbert #TheLateShowWithStephenColbert 'Transmission Accomplished': Stephen Colbert blasts Trump's plan to wind down coronavirus task force https://t.co/S4MxCSsTro https://t.co/nzMIy0tkPx,Florida
"Glow in the dark waves! #Bioluminescence #lightupthenight #glowinthedark #seaglow #abstractart #coronadelmar #wave #beachnight #pastelpainting #artoftheday #dailypainting #sennelierpastels @ Corona del Mar, California https://t.co/v4gF6rh63B",California
"Here is your 5/5/20 daily COVID-19 update from the County of Ventura:
18 new cases
595 total cases
416 recovered cases
22 hospitalized
11 in the ICU
160 under quarantine
19 deaths
11,854 people tested
 
It's National… https://t.co/ArfwSjzGbn",California
"“If I get Corona, I get Corona” Check out @Quichenight on the QUARANTUNES comp on #BurgerRecords' bandcamp featuring 161 songs recorded by 161 bands during and about these crazy times!!! We're covering all the BC… https://t.co/qh3GLXs3oH",California
The world is shaking. We feel it deep in the rivers of our lives. We all share the same coronavirus story. Everyone owns a piece. A world on pause. Our days on hold. But we keep on cooking and bouncing in the… https://t.co/FNbTvAmYwG,Texas
This should be considered an #essential #item for #parents dealing with extended #schoolclosure due to #covid19  #gotosleep #sos #parentingtips #calgontakemeaway adammansbach @celestebarber_ @realdonaldtrump @ Santa… https://t.co/8jlrxayNRf,California
"For all those who need some emotional self-care, here are 96 seconds of pure joy.
.
.
#Tishtopia #calvinandhobbes #tigerattack #pounce #babylaughs #fifteenmonthsold #covid19 #stayhome #shelterinplace @ Novato,… https://t.co/S4rFPsqrpm",California
"Tuesday night...( Cinco De Mayo ) ...A quiet,  empty street Santa Monica Blvd..( during Covid-19 crisis) ...Stay Safe Stay Healthy Everyone 🙏 
#tuesdaynight
#roccosweho 
#inthistogether 
#cincodemayo @ Rocco’s WeHo https://t.co/TrqgP25t96",California
"I did a flip. 2 none the less. For the first time since gyms with foam pits closed. @wessilvestri on the 🎙 and 📹
#DoubleCoronaFlip #Coronavirus #Covid19 #DoubleBackflip #DoubleBacktuck #BridgeJumping #Parkour… https://t.co/UdigFTBiCM",California
"If your #hair #stylist, #barber, or 
#nailtechnician didn't email you clear #Covid19 #policy and #procedures like this they are #not #prepared to #reopen! #LoveIt #BoldBusinessTips #SheReady #hairstylist #beautician… https://t.co/C8LO2qAfq3",Texas
"We are stuck in the house due to COVID-19. As full-time authors, many are used to staying home all day writing, but the rest of us need some help. Why not promote your books? There are many free activities you can… https://t.co/4wmLiFyBhQ",Missouri
"A Tuesday night ...🙂👍at local super market ...( closed at 11pm ) ...A quiet time  ( during Covid-19 crisis) Stay Safe Stay Healthy Everyone 🙏 
#tuesdaynight
#pavilions 
#staysafe 
#inthistogether @ Pavilions https://t.co/PACQQlgzQ9",California
"Whoa! April was exceptionally wild as COVID continued to make things interesting, the nielsenregroup strived to provide white glove service, innovated with video tours and hustled to bring buyers virtual open houses… https://t.co/0TSgLzwIKW",Washington
"Quarantine day 53: Today the expedition learns a new skill set from the domesticated natives. Dog yoga, don’t knock it until you’ve tried it. #covid19 #workfromhome #mansbestfriend #learnsomethingnew #quarantinelife… https://t.co/TYBKMmKsxo",California
https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Tuesday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/O5tzGaWmOv #atx #austin #all512,Texas
"I was inspired by a pal to make a Queer quarantine house question.

What’s your quarantine house?
I'm 100% Pose.

#covid19
#quarantinehouse
#quarantinegames @ San Jose, California https://t.co/Pc0fCYUTjo",California
"A case of @corona later, #cincodedrinko turned into a country ass #voiceover #joke about #coronavirus on @tiktok_us 🤷🏽‍♀️🤣🍻🇲🇽 And now it’s here. You’re welcome 🤪 #happycincodemayo #cincodemayo @ Chavez Ravine https://t.co/71fPovnGOd",California
"Thank you LA’s best #RandysDonuts for the drive thru service! #comfort #yummo #pandemic2020 #covid19 @ Los Angeles, California https://t.co/40zUEFJsB4",California
"New Covid 19 testing Center opens today! 

#covid_19 #resources #hawthore #athertonbaptistchurch @ Atherton Baptist Church https://t.co/uh6gKKHknc",California
"Headline that springs to mind? The Dick Wants What the Dick Wants.  Or #ProfNeilFerguson hoisted by his own petard. I feel for him- he had #coronavirus, so it was probably safe for them to have unprotected ( #N95)… https://t.co/7XWe8PFxrc",California
"Today, May 6th 3 PM - 6 PM
During this time of uncertainty amidst the current COVID-19 global health crisis, supporting those in our communities who are the most at risk has never been more important. That includes… https://t.co/cnfddJfQ1v",Arizona
"It’s not my intentions to make this all about me, but as I’m approaching 52yrs young, and the Covid 19 eye opener 👁, it is my intentions to inspire more people into action, so we can get better together. I’m looking… https://t.co/7ZW0Fr7mWs",Louisiana
"Cleaned my hair and facial hair up tonight. It was needed. One more step towards feeling good right now. 
.
.
#Haircut #Buzz #Quarantine #CoronaVirus #Covid19 #Hair #Hairstyle #TransIsBeautiful #Trans #TransMan #FTM… https://t.co/WgpNny7v81",California
"Whistleblowing in Veterinary Practice: COVID-19, Declawing, Pain Management and More with Lance Roasa, DVM, JD &amp;nbsp;  https://t.co/EEavha3kJK",North Carolina
#gm #random #pic can’t wait til this #coronavirus #corona stuff is over with can’t wait til the #summer it’s bout to be #lit definitely gonna kill the #stage again but meanwhile while we #quarantine please Subscribe… https://t.co/XcL0hqX481,Maryland
🚨🚒🚔 🔥🔥🔥 🎬 Movie @newdayjovi jlshotthat @FivioForeign liltjay gs9gino #viral #driveby #800bc #Nina #ambition #demons #shmurdas #freegs9 #gs9 #woo #wooyork #zooyork #brooklyn #coronavirus #rippopsmoke #popsmoke @… https://t.co/0NE7m83pp0,New York
IMPOSSIBILITY OF CONTRACTUAL PERFORMANCE IN THE AGE OF COVID-19 Terry Farmer  https://t.co/Xt7mLJ48uK,Indiana
