tweet,location
"The Life I Live Prepared Me For Moments Like This #CHOP #CHOPASTINIAN 
🖕🏾#CHAZ I’m An #American 

Half White Half Black From Antarctica. Born In Corona, California. #PopularStranger @ CHOP https://t.co/Lqr7Zk2KyD",Washington
"The Best Part of the Trip So Far!!! ❤🥰😘😍
So 
Disappointed in Massanutten Resorts this go round &amp; COVID-19 spoiled, killed, stole and destroyed our trip ☹️ @ Massanutten, Virginia https://t.co/BLUeXYM6FZ",Virginia
Barrel tasting at home in the time of COVID. #chateaularoque #primeurs2019 #saintemilion #lagunacellar @ Top of the World https://t.co/Fm72JF0l03,California
"Thanks @questlove for suggesting ""Teddy Pendergrass: You Don't Know Me"" documentary... @mdub71 and I really enjoyed it. #socialdistancing #covid_19 #blacklivesmatter @ Lincoln, Nebraska https://t.co/FrlX9HHNjw",Nebraska
"Life after COVID-19! lululemon Legacy West. Line out the door, around the corner, amd down the side walk! Welcome to the new normal.

 #lululemon #legacywest #planotx #coronaviruslife #quarantinelife… https://t.co/f9gB7cgX4q",Texas
"""ᴶᵁˢᵀ ᴬ ᴳᴵᴿᴸ ᴳᴿᴼᵂᴵᴺᴳ ᵂᴵᴺᴳˢ""
🦋ᴮᵁᵀᵀᴱᴿᶠᴸᴵᴱˢ  ᴿᴵˢᴵᴺᴳ
⋫
⋫
⋫
📷: nelson_mcfrancis
#happymemorialday🇺🇸 #aframeinthepines #🖕🏼covid19 #weekendgetaway #mecanwi #gypsynomad #statesidetravels… https://t.co/U6y5q8x7nN",Wisconsin
"We’ve spent the last 3.5 months making out with our masks on, that’s how we’ve kept the relationship alive. #covid19 so proud of my guy killing it on stage for the first time since March! #lovehim #loveyou #pic… https://t.co/8tedO31M3c",Nevada
No caption needed #friends #reunited #socialdistancing #mask #fashiononashoestring @ Shoo Shoo Baby https://t.co/mDmQS5HbBm,California
"ᴵᵀ ᵀᴬˢᵀᴱˢ ᴸᴵᴷᴱ ᶠᴿᴵᴱᴺᴰˢᴴᴵᴾ🔥🌽
⋫
⋫
⋫
#happymemorialday🇺🇸 #aframeinthepines #🖕🏼covid19 #weekendgetaway #mecanwi #gypsynomad #statesidetravels #northwoodswisconsin #notallwhowanderarelost… https://t.co/MPBU6fNpZQ",Wisconsin
Last week I married the love of my life. 2020 has been a hard year with one of those hardships being the pandemic that caused us to postpone out Wedding. Despite that McKenzie and I felt… https://t.co/yQO37SR4T0,Oregon
"Braving the COVID to get the groceries! @ Sacramento, California https://t.co/OVgUYO9udQ",California
"Putting together components of the social distancing bags now required on our farm. Treat boxes are labeled and filled (no more communal treat bins). Water bottles labeled. There are extra water bottles, too, for… https://t.co/JSerLYnUP2",Missouri
COVID gambling 😷💵 @ Desert Diamond Casino https://t.co/VtJiudaoMM,Arizona
"What a beautiful evening after a rainy afternoon! #dailywalk #neighborhoodwalk #flattenthecurve #itsbetteroutside #motherdaughtertime #summerssolstice #longestdayoftheyear @ Houston, Texas https://t.co/VWicZ52OGS",Texas
Selftape is life... #Hello #SelfTapeJune #Quarantine #Me #Audition #XOXO #Kisses #Bisous #Fun #Beautiful #Happy #Drama #Love #BrownEyes #ActorsLife #ModelLife #Artist #SelfTape #Play #VideoOfTheDay #VOTD #InstaGood… https://t.co/kOoQSSrnJB,California
The last supper I had before the statewide lockdown was here. Only fitting to return here upon finding out that they're open for dine in with very limited seating. @ Shin-Sen-Gumi Fountain Valley https://t.co/TNUTurY6x7,California
"OLD SAC NEW ME 
#blm
#nieghborhoodnip 
#allheroesdontwearcapes 
#oldsacramento 
#pennyhardaway 
#blacklivesmatter 
#coronavirus 
#covid19 @ Old Sacramento Waterfront https://t.co/sS03Bbmq2r",California
"Bored at home while #SocialDistancing in our #HouseholdUnit We did a thing. #Tamales. #Masa #QuesoYRajas #pollo #res @ Chula Vista, California https://t.co/EulJfhrlGT",California
