,Province_State,Confirmed
0,Alabama,18851
1,Alaska,504
3,Arizona,22356
4,Arkansas,8067
5,California,119348
6,Colorado,27046
7,Connecticut,43091
8,Delaware,9712
10,District of Columbia,9016
11,Florida,58764
12,Georgia,48894
15,Hawaii,653
16,Idaho,2933
17,Illinois,123830
18,Indiana,35712
19,Iowa,20300
20,Kansas,10092
21,Kentucky,10410
22,Louisiana,41133
23,Maine,2418
24,Maryland,54982
25,Massachusetts,101592
26,Michigan,58035
27,Minnesota,25870
28,Mississippi,16322
29,Missouri,14189
30,Montana,525
31,Nebraska,14885
32,Nevada,8951
33,New Hampshire,4795
34,New Jersey,162068
35,New Mexico,8140
36,New York,374085
37,North Carolina,31276
38,North Dakota,2679
40,Ohio,36792
41,Oklahoma,6805
42,Oregon,4399
43,Pennsylvania,77780
45,Rhode Island,15219
46,South Carolina,12415
47,South Dakota,5162
48,Tennessee,24833
49,Texas,68877
50,Utah,10497
51,Vermont,990
53,Virginia,46905
54,Washington,22484
55,West Virginia,2077
56,Wisconsin,19400
57,Wyoming,915
