,Province_State,Confirmed
0,Alabama,6912
1,Alaska,355
3,Arizona,7209
4,Arkansas,3193
5,California,48747
6,Colorado,14758
7,Connecticut,26767
8,Delaware,4655
10,District of Columbia,4106
11,Florida,33193
12,Georgia,25775
15,Hawaii,613
16,Idaho,1952
17,Illinois,50358
18,Indiana,17182
19,Iowa,6843
20,Kansas,3839
21,Kentucky,4537
22,Louisiana,27660
23,Maine,1056
24,Maryland,20849
25,Massachusetts,60265
26,Michigan,40399
27,Minnesota,4644
28,Mississippi,6569
29,Missouri,7660
30,Montana,451
31,Nebraska,3851
32,Nevada,4934
33,New Hampshire,2058
34,New Jersey,116365
35,New Mexico,3213
36,New York,299691
37,North Carolina,10180
38,North Dakota,1033
40,Ohio,17303
41,Oklahoma,3473
42,Oregon,2446
43,Pennsylvania,46327
45,Rhode Island,8247
46,South Carolina,5882
47,South Dakota,2373
48,Tennessee,10366
49,Texas,27257
50,Utah,4497
51,Vermont,862
53,Virginia,14962
54,Washington,14070
55,West Virginia,1110
56,Wisconsin,6520
57,Wyoming,545
