,Province_State,Confirmed
0,Alabama,8437
1,Alaska,371
3,Arizona,9305
4,Arkansas,3525
5,California,58456
6,Colorado,17367
7,Connecticut,30621
8,Delaware,5371
10,District of Columbia,5322
11,Florida,37439
12,Georgia,29998
15,Hawaii,625
16,Idaho,2127
17,Illinois,65889
18,Indiana,21033
19,Iowa,10111
20,Kansas,5648
21,Kentucky,5822
22,Louisiana,29996
23,Maine,1226
24,Maryland,27117
25,Massachusetts,70271
26,Michigan,44451
27,Minnesota,7851
28,Mississippi,8207
29,Missouri,9121
30,Montana,456
31,Nebraska,6373
32,Nevada,5660
33,New Hampshire,2636
34,New Jersey,130593
35,New Mexico,4138
36,New York,321192
37,North Carolina,12510
38,North Dakota,1266
40,Ohio,20969
41,Oklahoma,4127
42,Oregon,2839
43,Pennsylvania,53864
45,Rhode Island,9933
46,South Carolina,6841
47,South Dakota,2721
48,Tennessee,13690
49,Texas,33912
50,Utah,5449
51,Vermont,907
53,Virginia,20257
54,Washington,15594
55,West Virginia,1246
56,Wisconsin,8566
57,Wyoming,604
