,Province_State,Confirmed
0,Alabama,34183
1,Alaska,833
3,Arizona,66659
4,Arkansas,18740
5,California,206844
6,Colorado,31780
7,Connecticut,46059
8,Delaware,11017
10,District of Columbia,10185
11,Florida,122960
12,Georgia,72995
15,Hawaii,866
16,Idaho,4865
17,Illinois,140291
18,Indiana,44140
19,Iowa,27717
20,Kansas,13462
21,Kentucky,14859
22,Louisiana,54769
23,Maine,3102
24,Maryland,66115
25,Massachusetts,108070
26,Michigan,69329
27,Minnesota,34616
28,Mississippi,25066
29,Missouri,20216
30,Montana,829
31,Nebraska,18524
32,Nevada,15240
33,New Hampshire,5671
34,New Jersey,170584
35,New Mexico,11408
36,New York,391220
37,North Carolina,59158
38,North Dakota,3421
40,Ohio,48638
41,Oklahoma,12347
42,Oregon,7818
43,Pennsylvania,88860
45,Rhode Island,16661
46,South Carolina,30335
47,South Dakota,6535
48,Tennessee,39444
49,Texas,140173
50,Utah,20050
51,Vermont,1198
53,Virginia,60570
54,Washington,30855
55,West Virginia,2730
56,Wisconsin,26747
57,Wyoming,1368
