,Province_State,Confirmed
0,Alabama,17031
1,Alaska,429
3,Arizona,18472
4,Arkansas,6777
5,California,106622
6,Colorado,25598
7,Connecticut,41762
8,Delaware,9236
10,District of Columbia,8538
11,Florida,54497
12,Georgia,45881
15,Hawaii,649
16,Idaho,2770
17,Illinois,117455
18,Indiana,33558
19,Iowa,18957
20,Kansas,9662
21,Kentucky,9464
22,Louisiana,38802
23,Maine,2226
24,Maryland,50988
25,Massachusetts,95512
26,Michigan,56621
27,Minnesota,23531
28,Mississippi,14793
29,Missouri,13084
30,Montana,493
31,Nebraska,13648
32,Nevada,8376
33,New Hampshire,4492
34,New Jersey,158844
35,New Mexico,7493
36,New York,368284
37,North Carolina,26885
38,North Dakota,2520
40,Ohio,34566
41,Oklahoma,6338
42,Oregon,4131
43,Pennsylvania,74984
45,Rhode Island,14635
46,South Carolina,11131
47,South Dakota,4866
48,Tennessee,22063
49,Texas,60901
50,Utah,9264
51,Vermont,975
53,Virginia,42533
54,Washington,21071
55,West Virginia,1951
56,Wisconsin,17707
57,Wyoming,891
