,Province_State,Confirmed
0,Alabama,32064
1,Alaska,789
3,Arizona,60190
4,Arkansas,17375
5,California,195925
6,Colorado,31139
7,Connecticut,45913
8,Delaware,10889
10,District of Columbia,10128
11,Florida,109014
12,Georgia,69381
15,Hawaii,835
16,Idaho,4402
17,Illinois,138540
18,Indiana,43140
19,Iowa,26601
20,Kansas,12930
21,Kentucky,14363
22,Louisiana,52477
23,Maine,3017
24,Maryland,65337
25,Massachusetts,107611
26,Michigan,68555
27,Minnesota,33763
28,Mississippi,23424
29,Missouri,19123
30,Montana,766
31,Nebraska,18221
32,Nevada,13528
33,New Hampshire,5598
34,New Jersey,169892
35,New Mexico,10990
36,New York,389666
37,North Carolina,56527
38,North Dakota,3362
40,Ohio,46759
41,Oklahoma,11510
42,Oregon,7444
43,Pennsylvania,87685
45,Rhode Island,16606
46,South Carolina,27897
47,South Dakota,6419
48,Tennessee,37235
49,Texas,128132
50,Utah,18784
51,Vermont,1184
53,Virginia,59514
54,Washington,29869
55,West Virginia,2631
56,Wisconsin,25763
57,Wyoming,1282
